keyword,count,category,,
의창구 ,15,복지,,4
이용시간,12,복지,,4
이자지원,13,복지,,4
입금시간,16,복지,,4
입양아동,15,복지,,4
자격요건,20,복지,,4
자격조건,15,복지,,4
자원봉사,13,복지,,4
자활근로,10,복지,,4
장기요양,48,복지,,4
장례식장,25,복지,,4
장애등급,21,복지,,4
장애수당,36,복지,,4
장애아동,30,복지,,4
장애연금,11,복지,,4
재가센터,14,복지,,4
저소득층,68,복지,,4
전세자금,14,복지,,4
전용구역,63,복지,,4
전화번호,256,복지,,4
점심시간,15,복지,,4
점자블록,13,복지,,4
제공기관,11,복지,,4
주거급여,157,복지,,4
주거지원,14,복지,,4
주민센터,54,복지,,4
주차구역,83,복지,,4
지원사업,40,복지,,4
직통번호,15,복지,,4
진행상황,20,복지,,4
참전용사,14,복지,,4
체육시설,14,복지,,4
특수학교,24,복지,,4
팩스번호,66,복지,,4
프로그램,59,복지,,4
행정처분,14,복지,,4
혼인신고,17,복지,,4
홈페이지,50,복지,,4
활동보조,10,복지,,4
희망근로,11,복지,,4
가정복지과,206,복지,,5
건강보험료,27,복지,,5
결혼중개업,10,복지,,5
경력증명서,101,복지,,5
계좌 변경,11,복지,,5
고령운전자,14,복지,,5
공공도서관,24,복지,,5
공기청정기,74,복지,,5
관리 부서,25,복지,,5
국가유공자,79,복지,,5
기초 연금,16,복지,,5
기초수급비,19,복지,,5
기초수급자,208,복지,,5
기초연금 ,12,복지,,5
긴급생계비,42,복지,,5
긴급의료비,17,복지,,5
노인복지과,19,복지,,5
노인복지관,46,복지,,5
노인요양원,15,복지,,5
노인일자리,42,복지,,5
노인장애인,12,복지,,5
다문화가정,25,복지,,5
다문화가족,11,복지,,5
다문화지원,10,복지,,5
다자녀가정,11,복지,,5
단설유치원,13,복지,,5
담당 부서,22,복지,,5
독립유공자,11,복지,,5
드림스타트,14,복지,,5
마을도서관,15,복지,,5
명절위로금,10,복지,,5
무료급식소,20,복지,,5
발달장애인,10,복지,,5
버스정류장,16,복지,,5
병설유치원,10,복지,,5
보건복지부,16,복지,,5
본인부담금,13,복지,,5
부모부담금,29,복지,,5
사회복지과,736,복지,,5
사회복지관,14,복지,,5
사회복지사,44,복지,,5
수급 자격,11,복지,,5
시각장애인,22,복지,,5
아이돌보미,22,복지,,5
엘리베이터,13,복지,,5
여성가족과,16,복지,,5
여성복지과,10,복지,,5
요양보호사,56,복지,,5
음악치료실,10,복지,,5
의료급여자,11,복지,,5
의료비지원,17,복지,,5
임대아파트,16,복지,,5
자율학습실,19,복지,,5
장애 5급,10,복지,,5
장애인구역,10,복지,,5
장애인기업,10,복지,,5
장애인등급,13,복지,,5
장애인복지,31,복지,,5
장애인수당,12,복지,,5
장애인시설,13,복지,,5
장애인연금,58,복지,,5
장애인전용,27,복지,,5
재난지원금,87,복지,,5
종합자료실,10,복지,,5
주택정책과,12,복지,,5
중증장애인,11,복지,,5
지급 시간,10,복지,,5
지원 사업,13,복지,,5
차상위계층,78,복지,,5
참전유공자,24,복지,,5
처우개선비,22,복지,,5
청년주거비,15,복지,,5
출산장려금,72,복지,,5
출산지원금,10,복지,,5
출산축하금,42,복지,,5
컴퓨터교육,10,복지,,5
한부모가정,149,복지,,5
한부모가족,43,복지,,5
가정어린이집,204,복지,,6
가정위탁아동,10,복지,,6
공익근무요원,12,복지,,6
국민행복카드,10,복지,,6
기초 수급자,11,복지,,6
기초생활보장,20,복지,,6
기초생활수급,197,복지,,6
긴급복지지원,63,복지,,6
긴급생계지원,28,복지,,6
노유자 시설,10,복지,,6
노인복지시설,37,복지,,6
노인복지회관,26,복지,,6
노인장기요양,12,복지,,6
노인장애인과,44,복지,,6
노인재가센터,32,복지,,6
다자녀 혜택,11,복지,,6
담당자 번호,14,복지,,6
디딤씨앗통장,73,복지,,6
민간어린이집,221,복지,,6
보육청소년과,23,복지,,6
보훈명예수당,13,복지,,6
부양 의무자,10,복지,,6
불법 주정차,67,복지,,6
불우이웃돕기,11,복지,,6
사회복무요원,120,복지,,6
사회복지과장,10,복지,,6
수급자 자격,15,복지,,6
시립어린이집,53,복지,,6
아동급식카드,32,복지,,6
아동복지교사,13,복지,,6
아동복지센터,11,복지,,6
아동복지시설,19,복지,,6
악기 연습실,11,복지,,6
여민동락카드,11,복지,,6
월남참전수당,10,복지,,6
자율 학습실,13,복지,,6
장기요양기관,11,복지,,6
장기요양보험,11,복지,,6
장애인 수당,10,복지,,6
장애인 연금,24,복지,,6
장애인복지관,38,복지,,6
장애인일자리,15,복지,,6
장애인증명서,15,복지,,6
재가복지센터,18,복지,,6
주간보호센터,19,복지,,6
지역아동센터,74,복지,,6
지역자활센터,10,복지,,6
지하 주차장,12,복지,,6
직업재활센터,10,복지,,6
직장어린이집,29,복지,,6
차상위 계층,11,복지,,6
청년구직수당,13,복지,,6
청년내일통장,22,복지,,6
청소년수련관,14,복지,,6
하차확인장치,19,복지,,6
한부모 가정,26,복지,,6
한부모 가족,10,복지,,6
행정복지센터,19,복지,,6
희망근로사업,13,복지,,6
희망키움통장,32,복지,,6
가정 어린이집,43,복지,,7
공동육아나눔터,13,복지,,7
국공립어린이집,78,복지,,7
기적의 도서관,16,복지,,7
기초생활수급비,89,복지,,7
기초생활수급자,654,복지,,7
기초수급대상자,11,복지,,7
긴급생계비지원,18,복지,,7
긴급재난지원금,19,복지,,7
노인돌봄서비스,18,복지,,7
노인종합복지관,65,복지,,7
민간 어린이집,38,복지,,7
바우처 담당자,10,복지,,7
발달재활서비스,11,복지,,7
생활보호대상자,10,복지,,7
아동발달바우처,10,복지,,7
아이돌봄서비스,18,복지,,7
의료급여수급자,19,복지,,7
장난감 도서관,21,복지,,7
장애인 일자리,22,복지,,7
장애인 화장실,11,복지,,7
장애인복지카드,12,복지,,7
장애인전용구역,13,복지,,7
장애인주차구역,60,복지,,7
장애인활동지원,19,복지,,7
종합사회복지관,11,복지,,7
주간활동서비스,13,복지,,7
지역사회서비스,23,복지,,7
청년 내일통장,16,복지,,7
건강가정지원센터,10,복지,,8
국공립 어린이집,31,복지,,8
기초생활 수급자,13,복지,,8
노인장기요양시설,15,복지,,8
노인주간보호센터,17,복지,,8
여성청소년보육과,10,복지,,8
육아종합지원센터,15,복지,,8
장애인 전용구역,37,복지,,8
장애인 주차구역,56,복지,,8
장애인일자리사업,24,복지,,8
장애인활동보조인,16,복지,,8
청년희망키움통장,11,복지,,8
고향의 봄 도서관,12,복지,,9
기초생활보장수급자,16,복지,,9
기초생활보호대상자,15,복지,,9
서부노인종합복지관,38,복지,,9
장애인 주차 구역,14,복지,,9
장애인전용주차구역,29,복지,,9
아이세상장난감도서관,17,복지,,10
지역사회서비스투자사업,14,복지,,11
