지역,제목,내용,작성일자,답변,답변일자,처리담당부서,추진상황
,관광 제주를 지향하는 제주도의 야간 가로등,"현황 및 문제점
제주도에 밤에 공항에 도착하면 공항입구만 환하고 나가면 깜깜절벽이 천지다. 이래가지고 무슨 관광제주라하는가?
밤9시 넘으면 렌트아니면 버스도 없고 서귀포로 가는 택시비는 메타로하면 3만원정돈데 슬쩍 5만원도 받는다.
가는길에 평화로는 제주도의 고속도론데 시골 동네길같이 가로등도 없는 깜깜한길을 한시간 넘게 달리다 보면 무섭다. 이게 제주도가 말로는 관광으로 먹고 산다면서 오면 그만이고 안와도 환경보전이다하는 안일한 사고방식이다.
중국 춘절 2월한달동안 세계각국으로 여행한 중국인들이 수억인데 제주도 없다. 물론 대한민국이 없지만 제주도는 관광으로 먹고 산다면서 끽소리 못하고 이래 살아야 되겠는가? 제주도의 얼굴인 공항에서부터 평화로의 가로등을 고속도로 수준으로 밝혀놓고
중간에 휴게소라도 하나 만들어 주기 바란다.
개선방안
평화로 가로등 불 밝히기
기대효과
제주도의 얼굴을 환하게",2023-02-09,"○ 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원 (1AB-2302-0003579)에 대한 검토 결과를 다음과 같이 알려드립니다.

○ 귀하의 민원내용은 ""평화로 가로등 설치""를 제안한 것으로 이해됩니다.

○ 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다.
- 우리 도에서는 평화로 교통사고 예방사업으로 2021년도 원동교차로 ~ 어음1교차로 구간에 가로등 92주를 신설하였고,
- 밝은도시·빛나는 제주 조성사업 추진에 따라 연차별로 평화로 사고다발구간에 가로등 시설을 추진할 예정입니다.

○ 이에따라 귀하께서 제안하신 ""평화로 가로등 설치""에 대해서는 연차적으로 추진해 나갈 예정임을 알려드리며 답변 내용에 대한 추가 설명이 필요한 경우 도로관리과 박창현 주무관(☏064-710-8607)에게 연락주시면 친절히 안내하여 드리겠습니다. 감사합니다. 끝.",2023-02-21,제주특별자치도,답변완료
,마을확성기방송 개선안,"현황 및 문제점
마을 확성기 방송이 울리고 멀면 잘 안들림
개선방안
휴대폰 문자나 앱을 만들어서 해결
하기 싫으신 분도 있을수 있으니 받고 싶은 사람만 신청하여 받게하면 좋을것 같고 문자나 앱을 만들기전 마을사람들 의견 수렴을 원함
기대효과
마을 방송과 긴급 방송을 마을사람들이 더 잘 들을수 있고 노인 분들이 특히 편리할것 같음",2023-02-05,"○ 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원 (1AB-2302-0003579)에 대한 검토 결과를 다음과 같이 알려드립니다.

○ 귀하의 민원내용은 ""평화로 가로등 설치""를 제안한 것으로 이해됩니다.

○ 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다.
- 우리 도에서는 평화로 교통사고 예방사업으로 2021년도 원동교차로 ~ 어음1교차로 구간에 가로등 92주를 신설하였고,
- 밝은도시·빛나는 제주 조성사업 추진에 따라 연차별로 평화로 사고다발구간에 가로등 시설을 추진할 예정입니다.

○ 이에따라 귀하께서 제안하신 ""평화로 가로등 설치""에 대해서는 연차적으로 추진해 나갈 예정임을 알려드리며 답변 내용에 대한 추가 설명이 필요한 경우 도로관리과 박창현 주무관(☏064-710-8607)에게 연락주시면 친절히 안내하여 드리겠습니다. 감사합니다. 끝.",심사 중,제주시,제안심사
,도로변 불법주차 관련,"현황 및 문제점
[국민신문고] 1AA-2301-0821819
민원관련 재요청

제주시 외도동 조공포길 도로변 불법주차(특히 남쪽 부영아파트 2단지주변)로 인해 중앙선을 침범해야만 주행이 가능합니다.
첨부파일 형식의 주차봉 등 설치하여 도로변 불법주차를 방지하지는 내용인데 무단횡단 팬스 설치규정. 적용을 통한 소극적인 행정방침에 실망을 했습니다.개선될때까지 지속적으로 민원을 제기할겁니다.
첨부파일을 보시면 영업용차량,대형차량들 불법장기주차도 쉽게 볼수 있습니다.
반드시 개선해주세요.
개선방안
중앙선 주차봉 설치 등을통한 도로변주차문제 개선(무단횡단 팬스 설치 규정 들먹이지 마세요!)
기대효과
도로주행 환경개선, 선량한 운전자들의 중앙선 침범유도 개선 등",2023-02-03,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 건의하여 주신 국민제안(1AB-2302-0001414)에 대한 검토결과를 다음과 같이 알려드립니다.

2. 귀하의 건의내용은 ""조공포길 도로변주차 문제 개선""에 관한 것으로 이해됩니다.

3. 귀하의 건의사항에 대한 검토결과는 다음과 같습니다.
가. 국토교통부『도로안전시설 설치 및 관리 지침』, 제주특별자치도 도로안전시설물 설치 및 유지관리 가이드 라인』에 따라 시선유도봉은 도로여건상 시설물로 진입 우려가 있는 경우에만 설치하며 주차금지 대용으로 사용이 불가합니다.
나. 조공포길 일원 도로변 주정차 차량에 의한 통행불편 사항과 관련하여 도로변 주차 운전자들을 대상으로 지속적으로 계도 및 공영주차장 이용 안내를 하고 있으며, 향후 해당구역의 주정차 단속구간 지정 등을 검토하도록 하겠습니다.

4. 귀하의 건의사항에 만족스러운 답변이 되었기를 바라며, 답변 내용에 추가 설명이 필요한 경우 외도동 산업팀 문재철 주무관(064-728-8312)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.",2023-04-03,제주시,답변완료
,제주축협 공판장의 불공정도축,"현황 및 문제점
돼지에는 등급있는 돼지와 등외등급 모돈으로 나누어 도축됩니다 이름은 돼지이지만 전혀다른 업종이며 판매유통도 전혀 다른방식으로 유통이 됩니다. 오래전부터 등급있는 규격돈의 높은 가격이 형성되어 출하물량이 증가하다보니 등외등급 모돈을 제한도축을 해주더니 어느한날은 아예단 한두도 도축을 못하니 육지로 나가라 완전 패닉에 빠지게하여 제주도청 방역과 축산과로 민원을 제기해도 안되는 현실에 답답할 뿐입니다 공장증설로 전재산을 투자하여 운영하는 저희로서는 그럼 육지에서 도축하여 반입하게 해주세요 해도 원산지위반의 우려가 있어 절대 불가랍니다 모돈이라는 돼지는 전혀별개의 업종이라고 설득을 하고 모돈은 육지모돈이 비싸니 원산지위반의 유통질서 교란행위는 불가하다는 주장을 하는바입니다 저희업체는 모든표기를 국내산으로 표기 판매하고 있음
개선방안
등급있는 규격돈 도축을 약 200여두 줄여서 도축하면 제축노조원님 들께서는 등외등급 모돈이 도축가능하다하니 제축공판장의 전향적인 정책을 부탁드립니다 공정위분들의 강력한컨설팅과 압력을 부탁드립니다 정책을집행하는 행정직 주무관님들도 제주민국 국외가 아니고 대한민국 국내라는 시각과 육지와 제주는 같은 국내이며 평등의 원칙을 적용 자유스럽게 강원 경기지역외의 아프리카 비발생지역의 등외등급 모돈을 반입할수있도록 방역과무관한지역을 자유롭게 반입허용을 공정위 분들의 강력하고 단호한 행정지도로 행정집행주무관님들 이 정책에반영토록 열린행정지도 부탁드립니다.
기대효과
제주도내 등외등급 가공업체의 원활한 운영이 가능함 판매에 열정을 쏟을수있음 양돈농가에 모돈의높은가격을 지급할수 있음 직원들을 안정적고용이 가능함 육지반출반입 화물기사님들의 안정된 일자리 물류비보장 약 한달 물류비 2500만 지불가능 등외등급 모돈가공으로 수많은 일자리 창출가능보장",2023-01-28,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 건의하여 주신 국민제안(1AB-2302-0001414)에 대한 검토결과를 다음과 같이 알려드립니다.

2. 귀하의 건의내용은 ""조공포길 도로변주차 문제 개선""에 관한 것으로 이해됩니다.

3. 귀하의 건의사항에 대한 검토결과는 다음과 같습니다.
가. 국토교통부『도로안전시설 설치 및 관리 지침』, 제주특별자치도 도로안전시설물 설치 및 유지관리 가이드 라인』에 따라 시선유도봉은 도로여건상 시설물로 진입 우려가 있는 경우에만 설치하며 주차금지 대용으로 사용이 불가합니다.
나. 조공포길 일원 도로변 주정차 차량에 의한 통행불편 사항과 관련하여 도로변 주차 운전자들을 대상으로 지속적으로 계도 및 공영주차장 이용 안내를 하고 있으며, 향후 해당구역의 주정차 단속구간 지정 등을 검토하도록 하겠습니다.

4. 귀하의 건의사항에 만족스러운 답변이 되었기를 바라며, 답변 내용에 추가 설명이 필요한 경우 외도동 산업팀 문재철 주무관(064-728-8312)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.",심사 중,제주특별자치도,제안심사
,제주버스는 불편합니다.,"현황 및 문제점
저는 최대한 제주버스를 이용하는 시민입니다.
그런데, 편하게 이용하는 편은 아닙니다.
저뿐만 아니라 버스를 어쩔수 없이 이용하는 분들은 거의 공감한다고 합니다.
사람이 운전하는거라 어쩔수 없다지만,
선진국의 시스템을 본 받아서 더 개선 됐으면 합니다.
무엇이 문제일것 같습니까? 제주버스를 담당하고 관리하시는 공무원님.
늘 사무실에 앉아서 업무를 보시니 모를수밖에 게다가 버스로 출퇴근 해본 경험이 없으셔서, 더욱더 모르실수 밖에,
그래서 제가 대표로 말씀드립니다.
버스는 사람이 운전합니다. 그런데, 운전하는 사람 마음입니다.
그 버스를 운전하는 분들은 본인들 개성데로 운전합니다. 마치 본인 성격을 그대로 드러냅니다.
아직까지는 버스시스템의 초기 단계인걸 느낌니다.
버스 운전자에 따라 버스안의 온도는 일률적이진않고, 추운날에 운전자는 따뜻하게 입어서인지, 히터도 안틀고, 가는내내 손발이 시리게 하거나, 어떤 운전자는 히터를 너무 높게 해서 덥게 하거나, 어떤 운전자는 본인이 좋아하는 노래를 크게 틀거나,
또 어떤운전자는 브레이크를 심하게발아서 버스승객들이 위험해지게 하거나, 어떤 운전자는 통화운전,
버스 승객이 물어보면, 짜증내거나, 건성건성 대답하는 분들,
그리고, 와일드 하게 운전하는 분도 계시고, 정류장 안내 볼륨을 음소거로 하시는 운전자,
등등, 다양하게 운전 습관을 가지시는 분들이 많습니다.
물론 바르게 운전하시는, 친절하게 운전하시는 분도 계십니다.
제가 수년간 출퇴근으로 버스를 이용하는데, 친절하게 운전하시는 분들은 50명중 한두명 정도!
이젠 업그레이드 해야합니다.
언제까지 시스템 초기단계에서 멈추실겁니까?
개선방안
제주버스 이용객들을 위해서 좀더 평준화된 버스환경을 만들어주시고,

버스운전자의 관리감독과, 서비스 마인드 교육이 필요합니다.

특히 장거리 버스 이용객들을 위해서 좀더 쾌적한 버스 환경이 필요합니다.

제주 버스 이용하라는 광고만 하지말고, 제주 버스를 이용하겠끔 버스이용객들의 어떤걸 원하는지,
원하게 해주시고, 광고하세요.

제주시민을 생각한다면, 과장급이상의 공무원들은 제주버스로 출퇴근 4계절 정도 이용해보세요.
몸으로 느껴야 어떻게 개선할수 있는지 알수 있을 겁니다.
직급이 높다고, 많이 아는것 같아도, 현장경험이 없는 상사는 그냥 초보 상사일 뿐입니다.
책으로 운전을 배운거나 다름없습니다.
기대효과
누구나 알겠지만,

교통체증 완화, 환경오염 방지, 버스이용객들의 편리함.
더 깨끗한 제주를 만들 수 있다고 생각합니다.",2023-01-19,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원(1AB-2210-0002174)에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 현재 대중교통(버스)를 운행하는 운수종사자들을 대상으로 기준에 따라 매년 또는 격년 또는 수시로 서비스 마인드 교육을 실시하고 있으며 추가적으로 2021년 12월부터 2022년 3월까지 38회에 걸쳐 운수종사자 1,417명을 대상으로 친절서비스 함양을 주제로 교육을 실시하기도 하였습니다.

3. 또한 매년 제주도 대중교통(버스)를 직접 이용하는 이용객을 대상으로 버스(기본적 서비스, 부가서비스, 기사서비스, 서비스인지가치평가, 전반적인 만족도 평가, 충성도 평가)만족도 조사를 실시하고 있으며 2022년의 경우 9. 2.~10. 16.동안 1,005명을 대상으로 조사원이 직접 이용객과 1:1면접하는 방식으로 조사를 수행하였습니다.

4. 또한 ‘버스 운송사업자 경영 및 서비스 평가’를 실시하여 운송사업자의 운행관리, 차량관리, 안전관리, 친절관리 등에 대한 평가 결과를 성과이윤에 반영하여 차등지급 함으로서 서비스 개선을 재고하고있습니다.

5. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 대중교통과(☏710-4353)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.

붙임 국민제안신청서 1부. 끝.",2023-03-13,제주특별자치도,답변완료
,제주 목관아 주차장 야간 개방,"현황 및 문제점
제주시 삼도2동 관덕정 주변은 도시재생지구로 오래된 건물이 많습니다. 오래 전에 지어진 건물이 많아 고질적으로 주차장이 부족합니다. 그 결과 북초등학교 옆에 불법주차를 하는 경우가 많습니다. 초등학교 옆에 불법주차는 아동 교통사고 확률을 높입니다. 또한, 오래된 지역이라 도로가 좁습니다. 길 거리에 주차를 하면 극단적인 경우 차가 못 지나가는 경우도 발생합니다.

개선방안
관덕정 부속 주차장인 목관아 주차장을 동네 주민을 위해 야간 개방할 것을 제안합니다. 관덕정은 낮에만 개방하므로 밤에는 방문객이 없습니다. 밤에는 주차에 대한 수요가 없습니다. 현재는 주차장 문들 닫아서 사용할 수가 없습니다. 이를 개방하여 주민이 저녁에 주차장을 사용할 수 있도록 해주시기 바랍니다.
기대효과
주차 문제가 완전히 해소되는 것은 아니지만 일정부분 해결되어 초등학교 근처 불법주차가 줄어들 것으로 예상됩니다. 또한, 길거리 불법주차가 줄어들어 좁은 구도심에 소방차나 앰뷸런스가 쉽게 진입할 수 있습니다. 또한, 야간 개방이므로 관광객이 주차에 불편을 느끼지 않습니다.",2023-01-03,"2023. 01. 04일 국민신문고로 접수된 제안(1AB-2301-0001487)에 대하여 아래와 같이 답변하도록 하겠습니다.

□ 제안자 및 제안사항
- 제 안 자 : 김동현(010-3066-3407)
- 제안사항 : 제주목 관아 주차장 야간 개방 제안

□ 답변내용
안녕하십니까. 귀하께서 국민신문고를 통해 신청하신 민원에 대한 검토 결과를 아래와 같이 알려드립니다.

제주목 관아 주차장(제주시 관덕로7길 13)은 국가지정문화재(사적)인 제주목 관아를 방문하는 관람객들에게 주차 편의를 제공하기 위하여 문화재지정구역 내에 설치되어 있는 주차장 입니다.

귀하께서 말씀하신 바와 같이 제주목 관아 및 인근 초등학교 주변의 주차장 부족으로 인한 고질적인 불법주차 문제 등을 충분히 인지하고 있으나, 해당 주차장이 있는 부지는 문화재지정구역으로써 문화재의 보호 및 관리, 야간 개방 시 문화재 관리의 어려움 등으로 인하여 관람시간(09:00 ~ 18:00) 외에는 주차장을 미개방하고 있음을 양해해 주시기 바랍니다.

다만, 현재 추진 중인「제주목 관아 관리센터 신축」공사를 통한 주차장 신규 설치 시에는 귀하께서 언급하신 부분에 대하여 다각도로 검토해 나가도록 하겠습니다.

이와 관련하여 추가적인 문의사항이 있으시면 제주특별자치도 세계유산본부 문화유적관리과(064-710-6712)로 전화주시면 성실하게 답변하도록 하겠습니다.

감사합니다.",2023-01-31,제주특별자치도,답변완료
,제주절물오름 약수터 거리안내 필요,"현황 및 문제점
제주의 경관은 많은 관광객들을 찾게합니다.
절물오름을 가다보면 ==사진첨부==처럼 안내표지판들이 곳곳에 있는데 약수터가 얼마나 남았는지 알수 없어서 불편했습니다.
개선방안
안내표지판에 현위치에서 약수터가 얼마나 남았는지 거리 표시가 필요합니다.
기대효과
안내표지판에 거리표시로 안내함으로 관광객들에게 만족도 향상",2022-12-29,"안녕하세요. 제주시 절물생태관리소장 고미숙 입니다. 귀하께서 의견을 주신 사안에 대해 다음과 같이 회신하여 드립니다.

우선 절물오름 탐방로 이용과 관련하여 좋은 제안을 주셔서 감사드립니다.

귀하가 요청한 절물오름 탐방로 안내표지판 거리 표시 안된 부분에 대해서는 2023년 절물휴양림 노후 시설물 및 탐방로 정비공사 시 안내표지판을 정비하여 탐방로 이용에 불편함이 없도록 해 나가겠습니다.

탐방로와 관련하여 추가적으로 문의 사항이 있으시면 절물생태관리소 김형철(064-728-3636)에게 전화 주시면 성실하게 답변드리겠습니다. 끝..",2023-01-09,제주시,답변완료
,한라산 탐방로 쓰레기 문제 해결,"현황 및 문제점
대한민국의 국립공원인 한라산 등산로를 오르면 등산로 초입부는 비교적 쓰레기가 없는 반면, 정상부근으로 갈수록 자잘한 사탕껍질 쓰레기나 페트병과 같은 쓰레기가 많이 발견 됩니다. 우리나라 생태계를 대표하는 국립공원으로써 가장 아름다워야 백록담부근에서 쓰레기가 발견되는 것은 미관 상으로도 보기 좋지 않은 문제가 발생하고 있습니다. 이는 보호 되어야 할 동식물들의 터전을 손상시키고 전세계에 보여지는 자연유산으로써 국가의 위상을 해칠 수도 있는 문제가 됩니다.
개선방안
정상 부근의 쓰레기가 많은 것은 관리소의 관리감독이 영향이 닿기 힘들기 때문이라고 생각합니다. 따라서 이 문제를 해결하기 위해서는 정상까지 등반하는 등산객들의 손을 빌리는 것이 효율적이라고 봅니다. 한라산의 정상에 등반하였을 때 사진과 함께 홈페이지에서 인증을 하면 등정인증서를 1000원주고 뽑을 수 있는 기회가 주어집니다. 이 때 등산객이 각자의 쓰레기 봉지에 일정치 쓰레기를 모아온 것을 보여주면 이 등정인증서를 공짜로 발급하는 제도를 개선방안으로 제안합니다.
기대효과
정상까지 오르는 등산객의 손을 빌려 관리소가 관리하기 힘든 정상의 쓰레기를 처리하도록 한다면 정상 부근 쓰레기 문제를 개선할 수 있을 것입니다.
구체적으로
1. 널려있는 쓰레기를 줍진 않더라도 등산객 스스로가 본인이 만들어낸 쓰레기를 전부 수거한다면 조금의 관리만으로도 쾌적한 환경을 조성할 수 있게 될 것입니다.
2. 다른 보상이 아닌, 등정인증서를 무료로 발급할 수 있는 서비스를 제공함으로써 많은 예산을 들이지 않고도 등산객들의 보상심리를 충분히 충족할 수 있게 될 것입니다.
3. 등정인증서를 이용하기 때문에 등산객들의 바람직한 행동을 유도함과 더불어 정상까지 등반할 수 있는 동기부여를 더 극대화할 수 있을 것입니다.",2022-12-20,"안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 제안(신청번호 1AB-2212-0011350)에 대한 검토 결과를 다음과 같이 알려드립니다.
귀하께서 제출하신 제안의 요지는 “등정인증서 발급 비용 공제 혜택을 통한 정상부 쓰레기 문제 해결”에 관한 것으로 이해(또는 판단) 됩니다.
귀하의 제안에 대한 검토 결과는 다음과 같습니다.
1. 한라산 등정인증서는 정상등반 사진정보를 확인하여 지면으로 발급됨에 따라 출력에 소요되는 비용을 감안하여 발급수수료가 책정되었습니다.
현재 시스템 구조상 무료발급은 불가하나 제안하여 주신 사항에 대하여는 반영이 가능한지 검토해 나가도록 하겠습니다.
2. 또한, 한라산국립공원에서는 쓰레기 문제 해결을 위해 탐방객 쓰레기 되가져가기 캠페인을 추진중이며, 세계유산한라산지킴이 자원봉사 단체 회원분들이 매월 정기적으로 환경정비 활동을 하고 있음을 알려드립니다.
답변 내용에 대한 추가 설명이 필요한 경우 한라산국립공원관리소 관리운영과 양혜열 주무관(064-710-7813), 공원단속팀 김병철 주무관(064-710-7826)으로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.",2023-01-16,제주특별자치도,답변완료
,오•우수 관로 공사시에 철저한 관리로 예산 낭비 방지,"현황 및 문제점
하수 발생 증가로 하수처리장 증설이 추진되는 가운데 하수를 모아 하수처리장으로 보내는 하수 펌프장 단계에서 폭우 시 오‧우수 혼합에 따른 유입량 급증으로 과부하가 걸리고 있다.
각 마을마다 오•우수 관로 공사를 하면서 철저한 관리 감독이 이루어지지 않아 많은 문제점을 일으키고 있어 개선이 필요한 상황이다.
마을 침수 예방을 위한 우수관로가 오히려 악취와 침수 상황을 발생시키고 있다.
서귀포시 성산읍 오조리는 몇 년 전에 하수관로 공사를 했다. 하지만 몇 년 전부터 계속해서 민원이 제기되어 원인 파악을 했는데, 공사 후 준공 시에 철저한 검사가 이루어지지 않고 준공 허가서가 이루어진 것이다.
하수관로 준공 시에 카메라 내시경을 통해 철저한 검사 후에 준공 허가서가 이루어지도록 개선해 주었으면 합니다.
개선방안

하수도관 로봇은 관 내부를 영상으로 촬영할 수 있다. 하수도관을 조작하는 사람이 고화질 카메라로 촬영된 영상으로 내부를 확인할 수 있는 것이다. PC로 로봇의 이동을 제어하고 내부 영상에 대해 실시간으로 공유할 수 있다. 따라서 PC 화면을 통해 작업자가 정확하게 내부의 모래 침적, 노화 및 부식, 파열, 함몰 등 문제를 파악하고 후속 조치를 취할 수 있다.
하수도관 로봇이 마치 도시의 '창자'를 비추는 '장 내시경' 역할을 하는 셈이다.
오조리 지역 준공 시에 하수관로에 퇴적된 퇴적물들을 제거해 침수 예방 및 악취 냄새 저감을 할 수 있도록 개선하여 주세요.
따라서 하수도관 준공 시에 카메라 내시경 검사 후에 준공을 허락하여 예산이 낭비되지 않도록 개선하여 주시고, 재공사를 하여 주시기 바랍니다.
오조리 지역 하수관로 퇴적물을 사전 제거해 원활한 하수 흐름을 유지하고 막힘, 악취 등에 대처해 생활환경여건을 개선하여 주시기 바랍니다. 추후 예산 낭비 사례로 공유하려고 합니다. 생활하수 준공 검사도 중요하지만 생활 하수 정비에 잇어서는 철저한 관리 감독이 필요하다.
오수와 하수 분리를 정확히 하는 사업을 진행해야 함.
기대효과
철저한 준공공사로 인한 하수도 막힘 현상이 사라져 예산 낭비 예방
부정 공사 업체 퇴출로 안전한 제주 사회 구현에 앞장
무단 방류 예방으로 깨끗한 생태환경 조성.

파일1: 집수정 청소가 필요함, 담배 꽁초들이 우수관으로 침투되면서 막힘 현상과 바다로 유입되면서 생태계 파괴로 철저한 관리가 필요함,
파일2: 오수관에 우수관에서 들어오는 자갈 및 모래가 많이 침투 되어 있음. 철저한 분리 사업이 필요함
파일3: 하수관로 공사시에 철저한 검사가 이루어지지 않아, 막힘 현상과 준설 작업으로 예산 낭비 사례(카메라를 이용하여 관로을 검사 했는데 시공시에 시멘트가 굳어져 있음. 철저한 준공 공사가 이루어지지 않은 사례로 다시는 이러한 일이 발생하지 않도록 관리 감독 철저히.",2022-12-15,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 제안하여 주신 민원 1AB-2212-0008658에 대한 심사 결과를 다음과 같이 알려드립니다.

2. 귀하의 제안 내용은 ""성산읍 오조리 지역 하수관로 공사 시 철저한 관리 요청에 관한 것“으로 이해됩니다.

3. 상하수도본부에서는 2023년 오조리 지역 하수관로 정비사업을 통하여 해당 지역의 악취를 저감할 계획을 기 시행중에 있으며, 공사 준공 시 CCTV조사를 실시할 계획임을 알려드립니다.

4. 귀하의 제안에 감사드리며 기타 문의하실 사항이 있을 경우에는 상하수도본부 하수도부 변서연주무관(☎064-750-7958)에게 연락주시면 성심껏 답변하여 드리겠습니다. 감사합니다. 끝.",2023-04-11,제주특별자치도,답변완료
,수난인명구조함 정비 및 태양열 경광등으로 교체하여 야간에도 식별 가능하도록,"현황 및 문제점
요즘 안전의 강화되는 가운데 낚시객들이 몰릴 것으로 예상되는 해안가를 중심으로 구명환, 구명조끼, 구명로프 등이 비치돼 있는 수난인명구조장비 함을 점검하고 파손, 분실된 곳에 대해서는 즉시 보완을 실시해야 한다.
인명구조함 위치(성산읍 한도로 141-20)을 살펴보면 수난인명 구조장비 함 식별이 어렵다.
날마다 해양경찰에서 순찰을 하고 있지만 경고표지판 경고문구 탈색 및 부식 상태가 심한 상태이다.
인명구조함 안내표지판 안전시설 현황을 중점 조사하여 안전 조치가 필요하다.
밤에 수난인명구조함 위치을 식별할 수 있도록 경광등 교체도 시급한 상황임.
개선방안
안전사고 예방을 위해 인명구조함 안내표지판 정비 및 경고문자 탈색에 대하여 새롭게 정비가 필요함.
그리고 저녁에 상단에 태양열을 이용한 경광등을 부착해 야간에도 눈에 띄기 쉽고 위급상황 시 누구나 즉각 사용할 수 있도록 태양열 경광등으로 교체로 안전사고 에방에 효과적으로 대처 할 수 았음.
기대효과
인명사고 없는 안전한 제주 사회 조성,

파일1: 수난인명구조함 관리가 잘된점(안쪽에도 사용법이 잘 설명되어 있음)
파일2: 수난인명주조함인지 구별이 되지 않음

야간에 식별이 가능하도록 태양열 경광등으로 교체 필요 및 안내표지판 정비",2022-12-11,"1. 우리도(제주특별자치도)의 안전에 관심을 가져 주시고 적극적인 의견을 개진해 주신데 대해 깊은 감사를 드립니다.
2. 귀하께서 국민신문고를 통해 제안해 주신 국민제안(1AB-2212-0006192)에 대해 다음과 같이 답변 드립니다.

가. 우리도에서는 여름철 물놀이사고 예방을 위해 매년 3~4월경 기본계획을 수립하고 관계기관별 관리하고 있는 인명구조함 등 수난사고 예방장비에 대한 전수점검을 실시하여 파손, 분실 등에 대해 보완조치를 하는 등 시설관리에 노력하고 있습니다.

나. 귀하께서 제안해 주신“야간에 식별이 가능하도록 태양열 경광등으로 교체 필요”의 건은 이미 신규대상에 대해서 태양열 기반의 경광등 규격으로 설치하고 있습니다. 다만 예산의 효율적 사용을 위해 한꺼번에 교체하긴 어려운 현실이나 향후 지속적으로 교체해 나가도록 하겠습니다.

3. 귀하의 제안 내용에 대한 추가 설명이 필요한 경우에는 안전정책과 양진혁 주무관(710-3933)에게 연락주시면 안내해 드리겠습니다. 끝.",2023-02-01,제주특별자치도,답변완료
,체험장(레일바이크) 소화기 배치 의무,"현황 및 문제점
지난 8일 제주도내 모 체험 사업장 탑승 기구에서 불이나 4명이 화상 등을 입고 병원으로 이송됐다. 레일바이크는 철도 위를 달릴 수 있도록 만든 자전거를 칭한다.
차량용 소화기 설치 기준(자동차 및 자동차 부품의 성능과 기준에 관한 규칙)은 승차정원 7인 이상의 승용 자동차는 1단위(0.7㎏) 소화기 1개를 의무적으로 비치해야 하며, 오는 2024년 12월부터는 5인승을 포함한 모든 차량에 차량용 소화기 비치를 의무화하는 법안이 시행된다.
하지만 체험 사업장 탑승 기구인 레일 바이크에는 소화기 설치 기준이 마련되어 있지 않아 대책 마련이 시급하다. 즉 한시간 정도 소요되는 체험에 소방용 소화기 배치 및 화재 홍보문구 부착으로 화재 피해를 줄이자.
레일바이크 안전관리표지판을 설치하여 안전점검상황등을 기재하여야 한다.
개선방안
레일바이크 후면에 소방 홍보 안내문을 설치해 뒤에 타고 있는 이용객에게 왕복 약 1시간 정도의 코스 동안 홍보할 수 있도록 한다.
화재 예방을 위한 소화기 배치와 안내판 설치로 화재 예방 홍보
철저한 사전 준비와 신속한 대응을 통해 겨울철 시민 모두가 행복하고 따뜻한 겨울을 보냈으면 한다.
기대효과
화재가 없는 안전한 사회 문화 조성,",2022-12-11,"국민제안(1AB-2212-0006188)에 대하여 아래와 같이 심사결과를 통보토록 하겠습니다.

끝.",2023-01-11,제주특별자치도,답변완료
