분류,프로젝트 종류,프로젝트 시작,제목,미추진 사유,상세 내용,제안의시작,주요제안(문제정의),해결방안,공감투표 참여안내,참고자료,링크
산업・경제,기간종료,2019-11-12,재일동포에게 제주 중소기업·소상공인 제품 보내기,,,".. 제안의 시작 (문제정의).- 제안 취지(제안에 관심을 가지게 된 이유, 계기).. 배경  - 제주도 발전에 기여하고 아픈 역사를 간직하는 재일동포에게 고향애를 느낄 수 있는 감성적 정책 실행으로 도민과 함께하는 제주도정 이미지 구축.문제점  - 제주 재외동포를 위한 행사(예: 2019 세계 제주인 대회)를 통해 제주 경쟁력 강화에 애쓰고 있으나 고국을 방문하지 못하는 재외동포를 위한 온라인 행사 필요  - 특히 제일동포는 제주 발전에 기여한 역사적(감귤 나무 등) 사실이 많고 일본이라는 지리적 근접성을 이용한 다양한 제주만의 특색을 느낄 수 있는 행사를 진행할 수 있음..- 제안의 중요성(제안한 사회문제가 중요한 이유)..제일동포의 고향애를 느끼게 해줌과 동시에 제주 제품을 홍보하는 등 제주 경제 활성화에 기여하는 공익사업의 일환으로 제주지역 중소·소상공인의 다양한 제주 특색 상품(마유 및 유자차 등)을 패키지(여러 제품 묶음 상품)로 일본 재일동포에 발송.제주도지사 명의로 발송하여 역사적인 기여에 대한 제일동포들의 고마움을 표현하고 한일 관계 개선을 위한 노력에 기여.제주제품 홍보 및 수출 판로구축 등 제주지역 기업활동을 위해 제주도정이 적극적으로 노력하여 일자리 창출 등 제주도민에게 실질적으로 필요한 사업 구축에 기여..- 기대효과..제일동포에게 제주인으로의 자긍심을 느끼는 기회 제공.도내 중소·소상공인들의 수출 경쟁력 확보에 기여....",,,,,https://jejudsi.kr/issue/R275
산업・경제,기간종료,2019-08-21,2020년 제주 풍력자원 공유화 기금사업에 여러분의 참신한 아이디어를 모집합니다.,,,".. 제안의 시작 (문제정의).2020년 제주 풍력자원 공유화 기금사업에 여러분의 참신한 아이디어를 모집합니다.. .풍력자원 공유화 기금은 제주의 공공자원인 바람을 활용하는 풍력발전사업자의 개발 이익 일부를 기부금으로 받아 지역 에너지 자립과 에너지 복지 활성화 등에 활용되고 있습니다.. .청정에너지 분야에 관심 있는 도민 누구나 참여할 수 있으며, ▲재생에너지 개발ㆍ이용ㆍ보급을 장려하기 위한 사업 ▲취약계층에 대한 에너지 지원 사업 ▲재생에너지 교육 및 홍보 지원 사업 등에 대한 다양한 생각을 댓글로 남겨 주세요..(또는, 제주도청 홈페이지 공고 게시판에서 관련 서식을 다운 받아 제안서를 작성해 제출도 가능합니다.). .공공자원인 바람을 활용해 발생한 이익을 도민들이 공유할 수 있도록 조성한 제주 풍력자원 공유화 기금사업에 많은 관심과 참여 바랍니다...",,,,,https://jejudsi.kr/issue/Ryzy
산업・경제,기간종료,2019-06-28,전통시장만 가면 여긴 어디... 나는 누구...,,,".. 제안의 시작 (문제정의).- 제안 취지(제안에 관심을 가지게 된 이유, 계기)전통시장은 물건이 싸고 다양해서 자주 이용하지만 종종 불편한 점이 있습니다. 만약 오늘 저녁으로 꽁치를 먹고 싶다면 수산시장 전체를 돌아다니거나 호박을 사고 싶다면 호박을 파는 점포를 일일이 찾아야합니다. 그리고 어떤 가게나 식당이 문을 닫아도 미리 확인할 방법이 없습니다. 이마트나 홈플러스같은 대형마트들의 어플리케이션을 통해 물건의 위치, 유무, 가격 등의 정보를 실시간으로 제공합니다. 거기다 행사나 할인도 정기적으로 알려주어 소비자의 구매를 돕고있습니다. 만약 전통시장도 대형마트처럼 가게나 물건에 대한 정보를 전달하고 홍보하는 서비스가 있다면 더욱 활성화가 될 것이라 생각합니다. 이를 위해 전통 시장 내에 위치와 가격 정보를 담은 데이터베이스의 구축이 필요합니다...		.",,,,,https://jejudsi.kr/issue/LB7E
도시・교통,프로젝트완료,,사용자경험 분석을 통한 노인 친화적 대중교통정보 제공 방안 연구,,".. 상세 내용...프로젝트명 : <사용자경험 분석을 통한 노인 친화적 대중교통정보 제공 방안 연구>.. .2. 추진 목적. .■ 버스정류장의 일상적인 모습 가운데, 어르신들이 버스기사를 붙잡고 목적지를 물어보는 장면이 흔하게 관찰됨. .■ 버스정류장에서 제공하는 정보와 노인층이 원하는 정보 간의 형태 또는 제공방식이 불일치. .■ 제주도 대중교통정보시스템(BIS)의 첨단화의 이면에, 기기에 익숙하지 않은 노인층에게는 정보접근기회가 박탈되는 디지털 소외현상이 심화. .■ 지역사회의 고령화가 심화되고, 제주지역 내 이동의 편리성이 삶의 질을 결정하는 중요한 요소인 점을 고려할 때, 노인 친화적인 버스정보 제공 방안이 절실하게 필요. . .3. 추진 내용.1) 고령층 대중교통 이용에 관한 사용자 경험 조사 및 분석. .○ 현장 이용 실태 조사 고령층의 경우 제주도청 인구통계 자료를 활용하여 거주순위별 타깃 지역선정 선정된 지역 버스정류장 현장 실태 조사실시. .2) 고령층 버스 이용 빈도 및 주요 목적지에 대한 빅 데이터 구축. .○ 노인복지카드 버스 승/하차태그의 빅 데이터분석을 통한 주요 목적지 조사 및 분석.○ 노인복지카드 버스 태그 외 T-Mony 버스 태그의 활용방안에 대한 검토 진행.○ 조사결과를 향후 대중교통 정책수립에 활용 가능한 데이터 셋 형태로 제주데이터허브 공유. .3) 고령층 버스번호 안내를 위한 시제품 제작.○ 시각 : 목적지 중심 버스정보안내도/노선도 제작 및 부착 실험.○ 음성 : 버스 정류장 내 음성정보 안내기기 제작 및 부착 실험. .4) 고령층 버스번호 안내를 위한 카카오톡 기반의 쳇봇 개발.○ 30곳의 버스정류장에서 출발지를 입력하면 도착 가능한 목적지 버스번호 안내. . . .........제주여상상업고등학교 목적지 중심 버스 노선번호 안내표 (지도형)..제주여상상업고등학교 목적지 중심 버스 노선번호 안내표 (라인형)..... ....하귀초등학교.. ............동광양.....하귀초등학교, 동광양 목적지 중심 버스 노선번호 안내표 및 음성안내기기 부착. .[이용자별 제주 버스정류장 이용현황] 데이터 셋 (제주데이터 허브 등록). 카카오톡 기반의 버스안내 챗봇 개발.4. 추진 세부계획.1) 고령층의 대중교통 사용자경험 조사. .◯ 1:1 대면 인터뷰로 변경20명의 면담요원을 선발하여 본 사업에 관한 기초적인 교육 후 선정지역에 60세 이상 노인층을 대상으로 심층 인터뷰 실시함(대상인원 152명).◯ 대상인원 간담회 개최고령층의 경우 별도의 간담회를 개최하여 심층면접 및 사전홍보가 필요할 것으로 예상됨, 이에 주민자치센터 및 노인정의 도움을 통한 간담회 개최를 진행하고자 하였으나 코로나19로 인하여 취소함. .2) 문제정의 및 아이디어 도출 및 검증. .○ 사용자경험 분석 결과를 토대로 디자인씽킹 과정을 활용하여 문제를 재정의하고, 아이디어 도출.○ 내부 연구원 및 디자인전문가 자문을 통한 아이데이션 진행 -> 문제정의 및 아이데이션 진행. .3) 시제품제작을 위한 빅 데이터 분석 시범지역 선정. .◯ 버스정류장 승차태그의 데이터분석과 고령층 거주 우선순위를 고려하여 버스정류장 30곳 선정 (제주시 22곳, 서귀포시 8곳).◯ 선정된 버스정류장별 노인복지카드의 승하차 태그를 분석하여 주요하차지 선정 (10곳 이상). .4) 시제품 제작. .◯ 목적지 위주의 인포그래픽 개발- 정류장 부착용-30곳 (Basic Forms 2종 - 라인형, 지도를 이용한 그래픽 형 각각 30개씩 총 60개 개발).◯ 목적지별 버스번호 음성안내- 워킹목업 형태로 시범운영 2곳 설치 (하귀초등학교(하귀우체국방면), 동광양(광양사거리 방면)).◯ BIT UX/UI 목적지 우선안내 포함된 개선안 디자인제시 및 매뉴얼 북 제작5세트 매뉴얼북 제작 진행. .5) 홍보물 제작 및 배포. .◯ 리플렛 디자인 및 제작 - 1차 배포 : 버스 정류장내 이용객에게 배포- 2차 배포 : 해당지역 주민센터에서 배포.◯ 홍보물제작- 물티슈, 수세미, 각티슈 제작- 해당지역 주민센터에 포스터 부착 및 홍보물 배포. . .5) 시범운영 및 만족도 조사. .◯ 시제품 시범운영 실시 - 시범운영 후 지속여부에 관해서는 관련기관과 협의 진행예정.◯ 시제품 만족도 조사 진행. . .5. 기대효과. .- 제주도 대중교통 선진화에 기여.- 70세 이상 고령층을 위한 정책마련 기여.- 고령층 외 정보 취약계층으로 사용 확대 기회제공.- 새로운 비즈니스 모델 제시.: 제주도를 시범적으로 운영 -> 전국으로 확대 가능한 모델로 확산가능(특허츨원중)..빅 데이터와 디지털 기술이 융복합된 BIS의 진화 기대....",,,,,.. 관련 자료 ....,https://jejudsi.kr/issue/1dKa
도시・교통,프로젝트완료,,대중교통을 이용한 마을도보여행 데이터 발굴ㆍ서비스,,".. 상세 내용..*도보 및 대중교통을 이용한 슬로우 트래블 방식의 관광 콘텐츠 구축을 위하여 다양한 지역을 대상으로 숨겨진 명소의 발굴을 진행합니다.. .. .* 마을여행 콘텐츠는 대상마을의 이야기를 연결하고, 일정과 출발점 및 종점을 표현하는 웹형태의 정보제공 페이지와, 데이터베이스 구축을 위한 CSV파일로 제공됩니다. 또한 마을을 선정하여 브로셔와 파일 형태의 콘텐츠로 구성하여 서비스 합니다....수집..- 도보 중심의 마을관광코스 개발.- 마을관광 코스 개발을 위한 마을 가치 재발굴..콘텐츠 검증..- 각 콘텐츠의 내용의 정확성을 검증하고 올바른 데이터만 수집하여 콘텐츠화.- 데이터 셋 구현.- 검증된 데이터는 데이터셋으로 구현하여 응용서비스 활용에 제공...",,,,,.. 관련 자료 ....,https://jejudsi.kr/issue/A6on
도시・교통,기간종료,2023-01-19,제주공항 주차 변화가 필요해요!,,,.. 제안의 시작 (문제정의). ..육지에 갈일들이 많이 생기면서 공항에 자주 가다보니 제주공항 주차문제가 너무 심각하다는걸 알게 되었습니다. .. .문제점:.1. 주차공간 부족.2. 이면주차.3. 전기차충전소. .왜?. .공항 주변 주차장 가격이 그동안 코로나영향으로 50% 감면이었으나.공항과 같은가격이 되면서 모든 차량이 공항으로 몰림.. .공항 주차 타워에가면 여기저기 빈공간엔 주차공간이 아니더라도 주차를 하고 있어서 주차장 안에서의 접촉사고도 빈번하게 일어나는 실정.. .전기차 충전을 할 수 있는 기계가 10여대 있으나 그곳에는 충전을 하지 않는 전기차들이 대부분. 10만원의 과태료가 있으나 실질적으로 과태료를 청구하기는 어려운 실정.. . . .어떻게?. .단순하게 공항주변 공영주차장의 비용을 예전과 같이.50% 할인한다면 자연스럽게 해결 될 수 있다고 생각합니다.. . ..,,,,,https://jejudsi.kr/issue/1VB0
도시・교통,기간종료,2023-01-11,범죄예방 및 빠른 수사를 위한 CCTV 및 방범용카메라 관리체계,,,".. 제안의 시작 (문제정의).CCTV(방범용카메라 등 제공되는 카메라 종류를 모두 포함하나 쉽게 CCTV로 통일하겠습니다. )는 범죄 예방및 수사과정에 반드시 이용되는 매체입니다..개인이 설치한 CCTV와 블랙박스 영상 등으로 대체 되기도 하지만 일일히 찾아보고 제보를 기다리는것은 상당히 비효율 적인 일 입니다..CCTV가 제대로관리된다면 최근 경찰청에서 자주 메세지가 오는 실종자 수색에도 사용될 수 있으며 , 청소년 마약 문제도 단속할 수 있는 수단이 될 수 있습니다.. .CCTV는 사각지대도 있을 수 있고 고장난채 방치된 CCTV가 있을 수도 있습니다..지금도 쉽게 국토교통부, 한국도로공사 등에서 제공하은 공공데이터를 통해 CCTV영상을 확인할 수 있는데 이처럼 도 내에 설치된 (개인이 설치한 것은 문제가 생길 수 있으니 국가에서 관리하는) CCTV를 관리하는 루트가 생겼으면 좋겠습니다.. .제가 생각하는 것은..제대로 송출되지 못하거나 노후되어 품질이 너무 저하된 CCTV의 교체가 가능하도록 서비스 구현.CCTV가 설치된 지역과 설치되지 않은 지역을 분류하여 필요한 CCTV 대수 확장.. . .생각한 것은 이정도이나 가치더함을 통해 좀더 구체적이고 활용도가 있는 서비스가 탄생했으면 좋겠습니다...",,,,,https://jejudsi.kr/issue/Rb5o
도시・교통,기간종료,2022-12-02,멜로디 도로,,,".. 제안의 시작 (문제정의).일본 군마현에 가면 몇몇 도로에 멜로디라인이라는 도로가 있습니다.전에 그 길을 차를 타고 가는데 갑자기 어디선가 익숙한 멜로디가 들렸습니다. 그 소리에 놀라 졸음이 확 깹습니다. 멜로디라인이라는 것이였어요.. .원리는 단순합니다. 제주도에도 몇군데 있습니다만 내리막길에 가로로 촘촘히 홈을 내어 마찰소리와 함께 실제 제동을 돕는 줄무늬에 있습니다.줄무늬의 간격이 넓으면 저음이, 촘촘하면 고음의 소리가 납니다. 그것을 거리별로 계산하여 무늬를 내면 원하는 멜로디를 만들 수 있습니다.많은 사람들이 렌트카 여행을 하는 관광도시인 제주도에 딱 어울리는 것이라고 생각해서 글을 올립니다.비용이 많이드는 것도 아니고 음에 맞는 홈두께와 박자에 맞추는 거리계산도 어렵지 않습니다.소리를 들은 운전자와 동승객들은 깜짝 놀라 졸음운전방지는 물론 제동에 도움을 주면서 즐거운 주행이 되리라고 생각합니다.유튜브 동영상도 올리니 참고하세요.. . .https://youtu.be/WbUCgoN93DM..",,,,,https://jejudsi.kr/issue/1dkM
도시・교통,기간종료,2022-11-29,야간 교통사고 예방을 위한 지면 매립형 led 설치,,,".. 제안의 시작 (문제정의)..비오는 날 저녁 운전을 하게되면 차선이 보이지 않습니다..연삼로, 오라오거리 등 공항에서 시내로 이어지는 부분에서도 차선이 보이지 않는 경우가 많은데, 제주도 지리에 서툰 관광객, 또는 초보 운전자들은 차선을 확인하느라 운전에 온전히 집중하지 못할수도 있으며 본인 또한 비오는 날 보이지 않는 차선 때문에 식은땀이 흐를 때가 있습니다..일부 어두운 동네에 보행자들의 안전을 위한 지면 매립형 led램프가 설치되어 있는 것을 보았습니다..해당 led 램프 또는 야간시간대 선명하게 보일 수 있는 재료의 차선을 마련하여 어두운 저녁, 또는 비오는 저녁 안전한 운전이 이루어질 수 있도록 제안합니다... . ..",,,,,https://jejudsi.kr/issue/A6kj
도시・교통,기간종료,2022-11-26,"보행자, 운전자 모두를 위한 AI 신호등",,,".. 제안의 시작 (문제정의).얼마 전 한블리(한문철의 블랙박스 리뷰)라는 프로에서 횡당보도를 건너시던 어르신의 교통사고를 접하고 너무나 충격을 받았습니다. . .신호등이 없는 횡단보도도 아니고 신호등이 있는데  조금만 주의를 기울이면 방지할 수 있는 사고지만 큰사고로 이어지는 경우들이 있어 제안합니다. . . .횡단보도를 건널 때, 아래의 상황을 경험해 보신적 있을신가요? . .  1. 아직 초록불이지만 빨간불로 변경되기까지 얼마남지 않은 시간 때문에 서두른 적 있다.. .  2. 이미 횡단보도에 진입했지만 다 건너기 전에 빨간불로 변경된 적이 있다. . .아마 많은 분들이 한번씩 경험하셨으리라 생각됩니다. . . .이 외에도 어린이, 노약자 등 교통약자의 경우 신호등 시간이 충분치 않아 횡단보도를 이용하던 중에 신호가 변경되는 경우가 있습니다. . .이렇게 신호가 변경되었을 때 이를 인지하고 대기하는 차량이 있는 반면 미처 발견하지 못하고 주행하다 사고가 나는 경우도 종종 있습니다. . . .횡단보도에서 발생하는 교통사고를 예방하고 보행자, 운전자 모두의 안전을 위해 초록불인 횡단보도에 보행자가 진입했다면  완전히 건널 때까지 신호등이 초록불로 유지되는 AI 신호등을 제안합니다. . ..",,,,,https://jejudsi.kr/issue/1EPy
도시・교통,기간종료,2022-11-18,지방도로(야간) 사고 감소 제안,,,.. 제안의 시작 (문제정의).편도 2차선등 도로에 호루라기 소리로 주의 집중효과. .(고속도로내 터널내 호루라기 소리 및 형광등참고) .제주도는 속도제한이 많긴 하지만 괸광객들의 초행 운전으로 안전사고가 날어나고 있음. 이에 안전조치(터널내 호루라기 소리등)를 설치하면 사고 감소에 효과적일거라 생각됩니다. ..,,,,,https://jejudsi.kr/issue/1WpK
도시・교통,기간종료,2022-10-25,대중교통이용 포인트환급제도,,,.. 제안의 시작 (문제정의).대중교통을 이용하는 관광객에게 관광포인트 지급 . .제주도는 많은 관광객들이 찾는 세계적인 관광지입니다 그런만큼 교통을 이용하는 사람들이 많은데요  외국인들도 많이 찾지만 국내의 국민들은 1~2년에 한번씩은 제주도를 방문하는 것으로 알고 있어요.그럴때마다 렌트카를 이용하여 다니는 경우가 많은데 렌트카가 아닌 대중교통을 이용하거나 걸어서 이동하는 사람들께 관광포인트 지급을 해서 제주도 지역에서 현금처럼 사용할 수 있게 제주도의 상점들과 제휴를 맺으면 구석구석 찾아가는 재미도 있을것 같고 교통사고 및 차량으로 인한 환경오염이 많이 줄지 않을까 하는 생각이 듭니다. .대중교통이나 도보이용은 앱을 만들어서 기록되게 하고 그 앱에 바로 포인트가 쌓이게 하는거죠. . ..,,,,,https://jejudsi.kr/issue/Aa93
도시・교통,기간종료,2022-05-26,제주의 자전거 공유 서비스 제안,,,".. 제안의 시작 (문제정의).청정 제주에 고질적인 문제점은 불편한 대중교통, 가구당 보유 자동차 증가, 렌터카 문제, 주차 문제, 전동킥보드 문제 등. .복합적인 교통문제가 날로 심각해지고 있습니다.. .전동킥보드가 교통의 대안으로 나오고 있지만.안전사고문제, 이용후 도로에 방치되는 등의 문제가 있습니다.. .그래서 제주 공유 자전거 서비스를 제안합니다.. .이미 제주시 동지역에 일부 시행되고 있습니다..서울과 대전 등지에서는 서울 따릉이, 대전 타슈 등의 이름으로 활발히 이용되고 있습니다.. .공유 자전거가 활성화 되면 청년층의 이동이 원활해지고, 교통문제와 환경문제에 긍정적인 효과를 가져옵니다.. .우선적으로 서귀포 월드컵경기장 앞 광장에서 공유자전거 대여소를 시범 운영하는 것을 제안합니다!..",,,,,https://jejudsi.kr/issue/LYJD
도시・교통,기간종료,2022-05-20,제주공항에서 버스타러가는길이 어려워요,,,.. 제안의 시작 (문제정의).제주도에서 버스 타려고 가면 어찌 나가야 하나요.무언가 안내가 없어 복잡해요..,,,,,https://jejudsi.kr/issue/A6Vj
도시・교통,기간종료,2022-05-12,다니기 쉬운 도로,,,".. 제안의 시작 (문제정의).				 제주를 자동차를 타고 돌아다니면 회전 교차로가 굉장히 많은 것을 알 수 있습니다. 관광으로 온 사람들은 네비게이션에 의지해서 이동을 하게 되는데 알아 듣기 애매한 설명을 듣기도 합니다. 운전이 미숙한 젊은 층이나 길을 잘 찾지 못하는 관광객의 경우 사고로 이어지는 경우가 생길 수 있는데 회전 교차로의 도로에 색깔을 칠하고 어느 방면이라는 글씨를 써 주면 길 찾기가 쉬워져 사고로 이어지는 일이 줄어 들 것 같아 제안합니다...		.",,,,,https://jejudsi.kr/issue/ArQq
도시・교통,기간종료,2022-04-09,도로공사 실시간 위치 지도 어플,,,".. 제안의 시작 (문제정의).				오늘 중산간동로를 운전하다가 대형트럭이 갑자기 멈춰서는 바람에 사고가 날뻔했습니다. 알고보니 도로공사를 하기위한 트럭이었습니다. 1차선길을 막아놓고 차량통행에 방해를 하면서도 안전표지판 하나 없었습니다. 이런 부조리한 공사와 사람들이 받는 피해를 어떻게 해결할 수 있을지 고민하였습니다.도로에서 공사를 하는 현장들을 우리는 쉽게 볼 수 있습니다.그런데 왜 공사를 하는지 누가 공사를 하는지 우리는 모릅니다.그게 당연한걸까요?문제정의1. 공사장 근처에서 일어나는 교통사고가 빈번합니다.2. 도로공사장의 안전수칙이 잘 지켜지지 않습니다.3. 받은 피해에 대해서 손쉽게 소통할 수 있는 곳이 없습니다.제안사항제주도내 도로공사 상황을 실시간으로 등록한 지도 어플.- 각 현장마다 담당하는 업체 정보, 공사이유 및 목적, 공사기간등 기입- 현장공사에 대한 시민들의 평가를 할 수 있는 소통공간- 피해를 받은 상황에 대해 현장을 클릭후 바로 신고가능..		.",,,,,https://jejudsi.kr/issue/LQl6
도시・교통,기간종료,2022-04-08,깨진 도로 개선 사업,,,".. 제안의 시작 (문제정의).				제주도를 여행하다 보면 일반 도로나 외곽 도로에서 깨진부분을 많이 발견하게 됩니다. 특히 육지에서 오신 분들이 운전을 하시면서 제주도 길 노면이 너무 안좋다는 불만을 많이 재기 하십니다. 렌트카 비중이 높은 제주이기 때문에 차량의 손상이 갈 수 있는 노면상태를 개선할 수 있는 사업이 필요합니다.각 지역 별 도로 노면 상황 파악하여 깨지고 튀어나온 노면 정리 ..		.",,,,,https://jejudsi.kr/issue/1nYq
도시・교통,기간종료,2022-03-22,도시계획에서 도로정책관련하여,,,".. 제안의 시작 (문제정의).				제주도는 원형으로 된 섬입니다..도내에서 이동에 대한 계획은 도로를 바탕으로 하고 있습니다..이에 기준도로의 적용과 더불어 앞으로 나갈 미래에 대한 제안입니다.모든 도시에서 이동은 행의 영역입니다.이는 도시계획에서 도로정책과 관련한 정의를 기반으로 해야 합니다.""기준도로"" 제주도의 기준도로는 무엇인가? 라고 물어 본다면 환상도로의 형태가 될것입니다.제주도 외곽의 주거지역을 연결하는 도로의 형태는 환상도로입니다.제주도의 미래모습을 어떻게 만들어 가야 하는가?..		.",,,,,https://jejudsi.kr/issue/RlPp
도시・교통,기간종료,2021-10-22,우리동네 소식통통,,,".. 제안의 시작 (문제정의).				지난 8월, 한밤중에 저공비행하는 경비행기 때문에 불안했던 적이 있었는데.다음 날, 기사를 보니 도내 하천을 관리하는 ‘디지털 트윈 방식의 하천 플랫폼 구축’ 사업을 위해 제주도가 이륙 시킨 촬영용 소형 경비행기 때문이었습니다. .늦은 밤 11시에 조사를 해야된다면 미리 주민들에게 충분한 안내를 해야하지 않나 하는 생각이 들었습니다..* 기사링크: http://www.jejusori.net/news/articleView.html?idxno=332586..이 외에도 동네 도로에 전선줄이 떨어져 있거나 불법 부착물 등이 생겼을 때 어떻게 해결해야 하나 고민하다 ""우리동네 소식통통"" 앱을 제안합니다. .위와 같은 일들이 생겼을 때는 보통 동사무소에 연락을 하게 되는데 대게 근무시간이 아닐 때가 많습니다. .많은 분들이 퇴근 후 동네를 다니다가, 집에서 쉴때 겪는 일들이기 때문에 24시간 창구가 필요합니다.우리동네 소식을 듣고 불편사항을 해결할 수 있는 앱 '우리동네 소식통통'을 제안합니다. 1. 우리 동네 소식을 알려주는 창구 역할     - 각 지역별로 어플을 만들는 것보다 사용자 위치기반으로 해당지역의 소식, 안내사항을 받을 수 있는 형태     - 지역선택은 위치기반 또는 카테고리 선택으로 자유롭게 선택 가능     - 동사무소에서 해당 지역의 소식, 공지들을 수시로 제공2. 동네에서 발생하는 문제점, 불편사항 접수처 기능   - 도로에 떨어진 전선줄, 통행에 방해가 되는 쓰레기 무단 투기, 갑자기 생긴 불법 부착물 등을 24시간 접수할 수있는 접수처   - 불편사항 접수시 담당자 지정 또는 관할 부서 지정 여부 안내와 처리결과 안내까지 서비스..",,,,,https://jejudsi.kr/issue/LB8W
