지역명,제목,내용,작성일자,답변,답변일자,담당부서
양산시,양산천 나무 회손,양산천에 새로 심은 나무들의 밑부분에 칼로 그어놓은듯한 자국이 많이 보입니다 조사 부탁드립니다,2021-09-27,"1. 평소 우리 시정 발전에 관심 가져 주신 점 감사드리며, 귀하께서 국민신문고를 통해 신청하신 민원 건(1AA-2109-2799563)에 대하여 아래와 같이 알려드립니다.

2. 귀하께서 말씀하신 양산천 하천산책로 나무식재 손상은 하천 제방 풀베기사업으로 인하여 생긴 손상으로서 수시로 식재를 점검하여 조치하도록 하겠습니다. 향후 유사 민원이 발생하지 않도록 풀베기 작업시 유의토록 하겠으며, 쾌적한 산책로 관리에 최선을 다하겠습니다.

3. 기타 문의사항 있으시면 양산시 건설하천과 하천관리팀(☎055-392-2815)으로 연락주시면 성심성의껏 답변 드리겠습니다. 끝.
",2021-09-30,건설하천과
양산시,양산시 교통약자콜택시의 운행규정에 대한 질의와 조사 및 문책,"안녕하세요 지체장애인 김진동입니다.
일을 마무리 할 쯤 양산으로 돌아가기 위하여 2021년 9월 28일 오후 4시 46분경 창원컨벤셴센터에서 교통약자콜택시를 신청하였더니 앞선 대기자가 30명이라는 안내를 받았습니다.
날도 어둑 어둑 해지는 낯선곳에서 암담한 마음으로 기다리고 있었는데 5시20분경 콜센터 담당직원으로 부터 양산에서 온 차량있어 차량배정을 말씀드려 보겠다고 하기에 고맙다고 하며 전화를 끊고 기다렸더니 콜센터 담당 여직원이 양산콜택시 기사에게 제가 상당히 장시간
기다려야 함에 대한 전후사정을 말씀드리며 부탁을 해 보았지만 양산콜택시 차량 6817 기사분이 안된다고 하여 배정을 못해드려 죄송하다는 연락을 받았습니다.
지금 현재 기사가 거부하면 마땅하게 강요할 수 만은 없다고 말씀하셨습니다.
많이 실망스럽고 서운한 마음이 들었지만 나름 규정이나 사정이 있을 것이라고 생각하기로 하였습니다만 장애인을 비롯한 사회적약자를 위한 교통수단인 교통약자콜택시에 근무하시는 분의 장애인식정도를 의심하지 않을 수 없었습니다.
그로 부터도 1시간이상을 기다리는 상황에서 만약 날씨라도 춥고, 비라도 오고, 몸 상태가가 좋지 못한 그 누군가가 이런 상황을 맞이 한다면 사전에 방지 할 수 있는 일(사고)을 하지 않는 것은 잘못된 관행을 만드는 것이라는 생각을 가지게 되었고, 저를 태우고 오시더 창원 콜택시 기사님 말씀에도 부산에 창원손님 내려드리고 양산부산대병원에 들러 창원손님을 태워드리는 경우가 많다고 하시며 이번 경우는 잘못된 것 같다는 말씀을 하셨습니다.
오늘 일의 전후 사정을 여러모로 알아 본 바도 있지만 보다 명확한 규정과 어느 부분에 잘 잘못이 있는지를 규명하여 또 다시 이런 상황을 맞닿을 경우 보다 더 나은 선택이 될 수 있도록 시정조치가 되기를 강력히 요청합니다.
규정상의 이유가 있다면 규정을 수정보완 하여야 할 것이며 담당기사님의 판단에 책임 있다면 상응한 조치가 있어야 할 것입니다.

글을 쓰다보니 요즈음 양산시 교통약자 콜택시를 이용하며 난폭운전에 대한 경험을 여러번 하는데 이에 대한 교육이 필요하다고 생각됩니다. 차량 맨 뒷부분에 앉아 있으면 모든 충격을 다 받아내야 합니다. 장애인의 경우는 장애 정도에 따라 매우 위험함을 느낍니다. 빠른 시정조치가 필요한 부분입니다.

양산시 교통약자 콜택시가 운행되고 있는 근본적인 이유가 무엇인지 의문을 가지는 경우가 많습니다.
장애인을 비롯한 사회적약자를 위한 기관에 종사하시는 분들의 장애인에 대한 붏량스러운 응대와 비아냥거리는 언행, 허술한 서비스태도등 장애인식개선을 위한 강력한 교육이 필요함을 느낍니다.
복지관련 기관 종사자 채용시 능력도 중요하지만 인성정도가 미치지 못하는 분들을 채용하는 것은 심각하게 고려 해보아야 할 것입니다. 나라예산 더구다나 지방자치기관들의 예산으로 운영되는 사정으로 여타 일반직장의 근무환경이나 대우에 미치지 못함을 누구나 알고 있습니다.
그렇다고 하여 그런 이유로 장애인에 대하여 비하하거나 방관하는 근무태도는 옳지 않다고 생각합니다.
이용장애인들을 통한 운행기사님들에 대한 분기별 만족도 조사도입을 또한 필요하다고 생각합니다.

두서 없는 글 끝까지 읽어 주셨어 감사합니다.
진정성 있는 해결책들이 나오기를 소망합니다.",2021-09-28,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원(신청번호 1AA-2109-2880108)에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 귀하께서 제기 하신 민원내용 '양산시 교통약자콜택시의 운행규정에 대한 사항'에 대하여 답변 드리겠습니다.
- 우리시에서는 교통약자이동편의를 위해 2020년도 양산시교통약자이동지원센터를 설립하고 운영규정을 마련하는 등 관내 교통약자들의 편의증진을 위해 적극적으로 업무를 추진하고 있습니다.
특히, 배차 및 운행과 관련하여 경남도내 뿐만 아니라, 인접 지자체인 부산광역시, 울산광역시와도 유기적인 업무체계를 유지하여 관내 교통약자분들의 불편이 없도록 최선을 다하겠으며,
이동지원센터 운영진 및 운전기사들에 대해서는 이용자 편의가 우선시 되도록 친절교육 및 안전교육을 강화하겠습니다. 민원인 분께서 불편을 겪으신 점 진심으로 사과를 드리며, 향후 교통약자콜택시의 운행과 관련하여 사회적 약자를 위한 방향으로 업무를 개선하여 시민분들의 불편사항이 최소화도록 노력하겠습니다.

3. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 양산시 교통과 교통행정팀(☏055-392-2862)으로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.
",2021-09-30,교통과
양산시,주남동 아침도시쪽 지속적인 악취,"추석전 뜸하더니 추석연휴 빨간날부터
분뇨냄새와 공장화학냄새가 번갈아 가며 나는데
창문을 못열고 토할정도입니다.
오늘 저녁 지금도 분뇨냄새와 화학적인냄새가 진동합니다.악취센터가 생겼다는데 달라진게 뭔지요.
이곳 주민들 귀찮아서 민원 안넣는거지 기화만 나오면 방송에도 나올기세입니다.제발좀 부탁합시다.
냄새 좀 잡아주세요",2021-09-28,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원에 대한 처리결과를 아래와 같이 알려드립니다.

2. 먼저 귀하께서 축사 악취로 불편을 겪고 계신 데 대하여 죄송스럽게 생각합니다. 귀하의 거주지 인근에 위치한 축사를 방문하여 윈치커튼 미오픈, 탈취제 분사 등의 행정지도를 하였으며 추후 불시에 축사 방문하여 부지경계에서 악취가 강하게 감지될 시 악취 포집을 진행하여 배출허용기준 준수 여부 등을 확인토록 하겠습니다.

3. 그리고 악취는 순간성이 강해 감지 즉시 현장 확인을 하여야 발생원을 찾기 수월하므로 번거로우시더라도 일과시간(09:00~18:00)에는 양산시청 기후환경과악취대응팀 (☎055-392-3654)로 연락을 주시고 그 외 시간에는 양산시청 당직실(☎055-392-2221)로 연락을 주시면 즉시 현장 확인하여 조치할 수 있도록 하겠습니다.

4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 민원 답변 내용과 관련된 추가 질문이나 설명이 필요하신 경우 양산시청 기후환경과(악취대응팀 ☎055-392-3654)로 연락주시면 친절히 안내해 드리도록 하겠습니다. 끝.
",2021-10-06,기후환경과
양산시,명동 도로공사 관련 불편사항입니다,명동 웅상성당 명동 자동차전용도로 진입전 도로공사로 출퇴근 시간시 정체현상이 몇년째 일어나고 있지만 몇백미터 안되는 도로공사를 또한 몇년째하고 있군요. 공사가 언제 끝날는지 알수도 없고 실제 현장에 일하는걸 보면 몇명되지도 않는 인원으로 언제나 끝날까요? 빠른 답변바랍니다.,2021-09-28,"1. 평소 우리 시 발전에 관심을 가져 주셔서 감사드립니다.

2. 귀하께서 국민신문고에 ‘명동 도로공사 관련 불편사항입니다.' 제목으로 문의하신 사항에 대하여 아래와 같이 답변드립니다.

3. 도로개설공사로 인하여 불편을 드린 점 송구스럽게 생각하오며, 민원을 제기하신 도로공사는 2021년 11월 말에 완료 예정이며 빠른 시일 내에 공정마무리 하여 불편사항이 최소화 될 수 있도록 하겠습니다.

4. 기타 궁금하신 사항은 도로시설과 도로시설2팀(055-392-3774)으로 문의하시면 성실히 답변 드리겠습니다.
",2021-09-30,도로시설과
양산시,재난지원금 양산시는 계획없는지요?,"저는 양가 부모님 생활비 드리느라 제 급여 다 부모님 부양비로 씁니다
국가와 시는 세금은 더 내라 하면서 월급만 맞벌이라 나아보이지만 넉넉치못한 살림에 양가부모님 생활비 드리고 애 양육비에 힘들고 어려운데
자산이 많은것도 아닌 제가 왜 12%라고 분류되어 못받는걸까요?
이해불가 정책에 대해 시에서도 두손 놓고 세금만 자꾸 더 내라고 하니 정말 억울한 심정입니다.",2021-09-29,"1. 안녕하십니까? 귀하께서 국민신문고를 통하여 신청하신 코로나 상생 국민지원금 관련 민원에 대하여 아래와 같이 답변드립니다.

2. 귀하께서는 코로나 상생 국민지원금을 신청하였으나 대상자에서 제외됨에 따라 해당 문의를 주셨을 것으로 이해됩니다.

3. 코로나 상생 국민지원금은 코로나19 장기화로 피해를 입은 국민과 지역경제 활성화를 위하여 9월 6일부터 지급하고 있으나, 건강보험료라는 단일 기준으로 대상자를 선별하여 지급함에 따라 불가피하게 대상에서 제외되신 분들의 상심이 크실 것으로 생각됩니다.

4. 시 차원에서도 미지급된 분들의 구제를 위하여 추가적인 예산편성을 검토하였으나 추가적으로 86억 원 가량의 시비 편성이 필요하여 양산시 재정상 편성이 어려운 상황임을 양해하여 주시기 바라며, 기타 궁금하신 사항은 양산시 국민지원금 콜센터(055-392-8850)으로 연락주시면 성심성의껏 답변드리도록 하겠습니다.
",2021-10-13,행정과
양산시,디자인센터 옆 사거리 회전교차로 차선확대 요청합니다,"이전에 회전교차로 공사중에도 민원을 넣었으나 결국 아침마다 차량정체를 겪고 있습니다
회전교차로가 왜 있습니까?? 통행량이 없어서입니까??
원활한 차량 통행을 위한 회전교차로가 결국 통행정체의 원인에 되었습니다.
가촌과 물금에서 넘어오는 양 차선은 동시신호 입니다.
대체 신호등이 있는 회전교차로 어느곳에서 동시신호를 쓴단 말입니까???
중국에서나 볼법한 기이한 형태가 아닐수없습니다.
거기다 출근시간!! 한창 차들이 많이 넘어갈 시간에!!
어차피 사거리에서 신호를 대기하니까 동시신호여도 괜찮다?
저상황에 차안에 앉아보시렵니까? 괜찮을거같습니까?
그리고 사거리에서 역시 마찬가지로 5차로 중
좌회전 2차선, 직진 2차선, 우회전 1차선입니다
차량들이 신호대기할때 직진구간 두 차선이 아닌 하나의 차선에만 서있습니다. 왜냐면!
부산대학교 앞 3거리 지하차도 입구 옆은 2차선인데
이곳 지하차도 출구 옆은 1차선입니다
차량 통행량은 이쪽이 더 많습니다.
결국 끼어들기를 해야하는데 굳이 두 차선에 나란히 설 이유가 없으니 차들이 한 차선에만 물려있어 결국 뒤에 정체가 일어납니다
그리고 회전교차로 출구에도 회전교차로 임을 알리기위함이겠지만 주황선이 삐죽 빠져나와있으니 갈 생각을 안합니다
차량통행량은 앞으로 계속 늘어날텐데 이렇게 불편함만 가중시키는 회전교차로는 개선이 필요합니다.",2021-09-29,"1. 평소 우리시정에 적극적으로 참여하여 주신데 대하여 감사드립니다.

2. 귀하께서 2021.9.29일자 접수하신 ‘디자인센터 옆 사거리 회전교차로 차선확대 요청합니다’ 라는 제목으로 게재하신 사항에 대하여 아래와 같이 답변 드립니다.

- 디자인공원 앞 회전교차로는 기존 신호식 교차로의 신호대기 시간을 감소시켜 원활한 통행흐름을 도모하고자 추진한 사업이나 물금한신더휴, 코오롱하늘채아파트 등 1,900여 세대 입주에 따른 통행량 증가가 발생되었으며, 특히 회전교차로에서 부산대방향 직진차로는 3, 4차선이나 부산대병원 앞 오봉지하차도 옆 통행차선이 1차로 밖에 없어 현재 부산대방면 직진 4차선에만 차량이 정차하는 문제점이 있어 작년부터 교통혼잡 현상을 개선하고자 우리시에서는 오봉지하차도 옆 통행차선을 1차로에서 2차로로 확장하는 공사를 추진 중에 있으며 공사가 완료되면 통행여건이 개선될 것으로 판단하고 있습니다. 공사 완료시까지 다소 불편하시더라도 널리 양해하여 주시기 바랍니다.

3. 기타문의 사항이 있을 시 우리시 도로관리과 시설관리팀(☎055-392-2783)으로 연락주시면 성심을 다해 답변 드리도록 하겠습니다.
",2021-10-08,도로관리과
양산시,북정근린공원 유지보수 관련건 (무대 앞 계단 대리석 파손),공원 중앙에 위치한 무대 앞 계단 일부 대리석들이 파손 소실되었습니다. 가능한 빠른 보수작업 부탁드립니다.,2021-09-30,"- 관련 공원에 대한 종합적인 답변이 가능하여 일괄 답변드리는점 양해바랍니다. -
안녕하십니까? 귀하께서 국민신문고에 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.
귀하께서 제출하신 민원내용은 “북정근린공원 유지보수 요청”에 관한 건으로 이해되며, 답변은 다음과 같습니다.
1) 말씀하신 북정근린공원 내 산책로 바닥면 점토블럭 및 미끄럼방지 시설물 및 야외무대 계단에 부서진 대리석 마감재 보수 작업을 10월중에 조치토록하겠습니다 .
2) 귀하의 민원사항에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요할 경우 양산시 공원과 공원관리팀 이혜아(☎055-392-3182)으로 연락
주시면 친절하게 답변 드리도록 하겠습니다.
",2021-10-01,공원과
양산시,북정근린공원 유지보수 관련건 (미끄럼방지용 바닥 시설물),"공원내부 경사진 바닥에 미끄럼방지를 위해 설치된 시설물이 곳곳에서 부분 파손에 의해, 들뜸 현상이 일어나고 있습니다.
공원의 미관을 해치는 것을 넘어서 특히 어린이나 어르신들이 산책하시다 부상의 염려도 있어 보입니다.
가능한 빠른 보수 부탁드립니다.",2021-09-30,"- 관련 공원에 대한 종합적인 답변이 가능하여 일괄 답변드리는점 양해바랍니다. -
안녕하십니까? 귀하께서 국민신문고에 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.
귀하께서 제출하신 민원내용은 “북정근린공원 유지보수 요청”에 관한 건으로 이해되며, 답변은 다음과 같습니다.
1) 말씀하신 북정근린공원 내 산책로 바닥면 점토블럭 및 미끄럼방지 시설물 및 야외무대 계단에 부서진 대리석 마감재 보수 작업을 10월중에 조치토록하겠습니다 .
2) 귀하의 민원사항에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요할 경우 양산시 공원과 공원관리팀 이혜아(☎055-392-3182)으로 연락
주시면 친절하게 답변 드리도록 하겠습니다.
",2021-10-01,공원과
양산시,북정근린공원 유지보수 관련건 (화장실청소),"<화장실 청결 유지 관련건>
2021.09.30. 오전 09:48 기준. 남자 화장실 변기 막힘 (사진첨부)
시니어클럽 어르신들 공원에 배치하실 때, 화장실 전담인원을 지정해서 보내주시면 감사하겠습니다. 공원 전체에 몇 명 인원만 정해져서 나오시니, 서로 안하시려고 눈치만 보시게 된다고 합니다. 특정한 한 사람을 지정해서 지속적으로 화장실 전담으로 정하는 것은 형평성에 맞지 않다면, 공원에 배치되는 인원중 매일 돌아가면서 그날 그날 화장실 청소 담당하실분을 지정해 주세요. 가능하다면 남녀 화장실 각각 1명씩 총 2명을 화장실에 지정해 주세요. 감사합니다.",2021-09-30,"안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.
1. 먼저 귀하께서 불편을 겪은데 대하여 죄송스럽게 생각하며, 제출하신 민원의 내용은 북정근린공원 내 공중화장실 근로자에 대한 건에 관한 것으로 이해됩니다.
2. 제기한 민원과 관련하여 북정근린공원 내 막혀있던 변기는 조치완료하였으며, 현재 양산시 내 공중화장실 관리는 시니어클럽이 아닌 주식회사 인시스에서 위탁관리 하고있는 실정이며, 업무범위는 공원관리가 아닌 양산시 내 공중화장실 관리로 화장실 별 전담 근로자가 청소하고 있음을 알려드립니다.
3. 귀하께 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 하수과 서동주(☏055-392-5473)에게 연락주시면 성실히 안내해 드리도록 하겠습니다.
",2021-10-05,하수과
양산시,대형견 및 유기견 단속바랍니다.,"하북면 용연리 택지 조성지역내에 대형견을 목줄과 입마개도 않하고 택지내에 산책을 하는 견주들과, 개를 풀어놓고 키우는 개들로 도로를 지나가면 따라와 짖으며 어린아이들에게 달려 드는등. 또한 유기견들이 많이 돌아 다니고 있습니다. 단속 해주시기 바랍니다.",2021-10-01,"1. 평소 우리 시 시정업무 발전에 관심을 가져 주심에 감사드립니다.

2. 귀하께서 국민신문고를 통하여 신청하신 민원(신청번호 1AA-2110-0055393)에 대하여 다음과 같이 답변드립니다.

- 「동물보호법」에 따라 맹견의 경우 입마개를 반드시 착용하여야 합니다. 맹견이란 도사견, 아메리칸 핏불테리어, 아메리칸 스태퍼드셔 테리어, 스태퍼드셔 불테리어, 로트와일러와 그 잡종의 개입니다. 입마개를 반드시 착용하여야 하는 맹견 이외의 대행견은 입마개 착용이 필수가 아님을 알려드립니다.

- 또한, 추후 해당 장소에 방문하여 반려견 목줄 착용 등 펫티켓 지도 및 단속을 실시할 예정입니다. 아울러, 유기견이 자주 출몰하는 장소를 상세히 알려주시면 포획용 틀을 설치하여 구조하도록 하겠습니다.

3. 귀하의 민원에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요하거나 기타 문의 사항이 있을 경우 우리 시 동물보호과(☏055-392-5661~4)로 연락해주시면 친절히 안내하여 드리겠습니다. 끝.
",2021-10-18,동물보호과
양산시,2차선 주차단속 요망.,"첨부파일로 보낸 것은
북정동 삼성중학교 후문 GS25 이후 도로입니다.

차선은 2차선인데 좌 우에 주차되어있는 차들 보이시나요?
진짜 미친거같습니다. 저녁시간마다요.

이 길이 그냥 동네에 있는 길이 아니라
1200번 같은 부산행 대형버스가 지나다니는 길입니다.

GS 바로 5~10M에 복권방이 있어서
거기서 복권을 살려고 차를 대는 사람들입니다.

복권을 사는것은 좋으나 이 좁디좁은 길에 차를 대놓고 3~5분씩 복권을 사러가는게
일반 시민의 머리론 이해가 가지 않습니다.

말이 3~5분이지 그 사람들 차 대는 동안 혼잡해지는 차량과 버스들 일반 시민들
차 대서 복권사는동안 좁아지는 거리
차 빼서 다시 나가는 동안 또 차량 간격때문에 혼잡해지는 버스들이랑 지나갈려는 차들

진짜 혼란의 연속입니다.
이거 좀 어떻게 해주셨으면 좋겠습니다.
단속을 하시던가..아니면 좌 우로 주차금지 구조물이라도 설치해주세요.",2021-10-01,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원 내용은 『불법주정차 단속』에 관한 것으로 판단됩니다.
3. 귀하께서 신고하신 지점 이동식단속차량을 통해 주기적으로 단속을 실시하여 불편함이 없도록 노력하겠습니다.
4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 추가 문의사항이 있으신 경우 우리 시 교통과 교통관리팀(055-392-2875)으로 연락주시면 성실히 답변 드리겠습니다. 감사합니다. 끝.
",2021-10-06,교통과
양산시,서창운동장(화장실) 관리 필요,"양산시 격무에 수고가 많으십니다.
서창운동장 시설중 화장실(남,여)내 조명이 전혀 관리가 되지 않고 있습니다.
여러차례 관리업체에 연락(2개월 이상 지남)하여 조치한다는 답변만 있고 시설은 그대로 입니다.
공원에서 야간 운동 후 화장실 사용시 조명이 없어 많은 불편이 있습니다.
담당자께서는 신속히 조치 바라겠습니다.",2021-10-02,"안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.
1. 먼저 귀하께서 불편을 겪은데 대하여 죄송스럽게 생각하며, 제출하신 민원의 내용은 서창운동장 내 공중화장실 조명에 불이 들어오지 않음에 대한 건에 관한 것으로 이해됩니다.
2. 제기한 민원과 관련하여 서창운동장 공중화장실 내 전기차단기가 내려간 것으로 현장에서 조치완료 하였음을 알려드립니다.
3. 귀하께 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 하수과 서동주(☏055-392-5473)에게 연락주시면 성실히 안내해 드리도록 하겠습니다. 끝.
",2021-10-14,하수과
양산시,도로 주정차 및 물건 방치,"양산 북북동 지안스 로가 아파트 앞에 얼마전 새로 도로가 (왕복2차선 ) 생겼습니다.(아파트 정문에서 양산 중학교 정문 방향)
도로가 생긴호 여기가 도로인지 주차장인 지 알수가 없습니다. 평일, 주말, 밤, 낮, 할꺼 없이 차량 다수가 주차 되어 있습니다.
심지어 요즘에는 첨부 파일(사진) 과 같이 도로옆 유리 가게에서 자기들 차를 주차 하기위해 대략 가로 세로 1.5X2.5 m
정도 되는 투명 유리 까지 거기에 두고 있는 사정입니다.
이는 낮에도 물론이며 밤에는 그 유리가 보이지 않아 사고를 유발 할수 있습니다.
빠른 시일내로 처리 부탁드립니다.",2021-10-03,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원 내용은 『불법주정차 및 도로적치물 단속』에 관한 것으로 판단됩니다.
3. 먼저 귀하께서 신고하신 지점은 도로 가쪽 차선이 흰색 실선으로 되어 있는 '주정차허용구역' 으로써 주정차단속이 불가한점 양해부탁드립니다.
4. 해당 위치의 적치물 단속 요청과 관련해서는 현장확인 후, 계도 및 이동조치 하였으며 반복행위에 대해 수거 조치하도록 하겠습니다.
5. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 추가 문의사항이 있으신 경우 주정차단속 관련은 교통과 교통관리팀(055-392-2875), 도로적치물단속 관련은 도로관리과 도로운영팀(☎055-392-2755)으로 연락주시면 성실히 답변 드리겠습니다. 감사합니다. 끝.
",2021-10-07,교통과
양산시,불법 현수막 철거,"다방동 사거리 신호등 근처 허가받지 않은 현수막 철거 부탁드립니다, 벌써 며칠째입니다.",2021-10-06,"1. 평소 우리 시 시정 발전과 불법광고물 근절에 많은 관심과 협조에 깊은 감사드리며, 귀하께서 국민신문고를 통해 신청하신 민원(신청번호 1AA-2110-0274385)에 대해 아래와 같이 알려드립니다.

2. 귀하께서 신청하신 민원은 우리시 다방동 502-2 인근 불법현수막 정비 요청에 관한 것으로 판단되오며,

3. 이에 대한 조치내용은 다음과 같습니다.
- 해당 현수막은「옥외광고물 등의 관리와 옥외광고산업 진흥에 관한 법률」제3조, 제4조에 위반되어「동법」제10조에 의거 해당 현수막은 철거하였음을 알려드립니다.

4. 아울러 쾌적한 도시환경 조성을 위하여 평일·휴일 지속적으로 단속하고 있으나 야간 등에 발생되는 산발적인 불법행위에는 즉각적인 단속이 어려운 점 널리 양해 바랍니다.

5. 질문에 만족스러운 답변이 되었기를 바라오며, 추가적인 설명 또는 빠른 조치가 필요한 경우 건축과 정찬용 주무관(☎055-392-3083)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 끝.
",2021-10-15,건축과
양산시,오봉산 등산로 골목,"코로나 19로 인해 소상공인들은 유례없는 고통과 경제적 곤란으로 어려워하고 있습니다.
어머니께서 오봉산 등산로 골목에서 작은 식당을 운영하고 계십니다.
코로나로 힘든 이 시점에 이전부터 저희 골목에 무단으로 버려지는 쓰레기와 공공근로의 외면으로 더 큰 곤란을 겪고 있습니다.

문제점1. 쓰레기를 등산객들이 길바닥에 아무렇게 버리고 갑니다. 그래서 골목에서 식당을 운영하는 상인들이 사비를 들여 이 쓰레기들을
처리하고 있습니다.

문제점2. 떨어지는 낙엽을 모아둔 쓰레기 봉투가 반 정도만 채워져 있음에도 쓰레기를 수거하시는 분들이 그냥 가지고 가십니다.
지나가는 행인들이 바닥에 무단으로 쓰레기를 버리지 않도록 쓰레기 봉투를 지나다니는 곳에 비치한 것인데 말입니다.

문제점3. 공공근로자 분들께서 이 골목에는 한 번도 올라와서 쓰레기를 치우지 않으십니다.
오봉산 등산로 입구도 엄연히 양산시의 일부분 입니다.
단지 지형이 높다는 이유로 공공근로 서비스를 받을 수 없다는 것은 차별이라고 여겨집니다.

그러므로 저가 바라는 것은

첫째, 등산로 입구에 유동인구가 적지 않으니 쓰레기 봉투를 설치하는 것과 관리까지 양산시에서 책임져주시길 바랍니다.
둘째, 공공근로자분들을 독려하여 저희 등산로 골목에도 서비스를 제공할 수 있도록 조치를 취해주시길 바랍니다.
셋째, 바닥에 쓰레기를 무단 투기 하지 않도록 CCTV 혹은 팻말을 설치해주시길 바랍니다.

골목에 쓰레기가 제대로 청소되지 않는다면 식당의 매출감소로 이어지게 되어 경제적으로 큰 곤란을 초래합니다.
이러한 문제를 개인의 문제라고 치부한다면 저희 소상공인들의 어려움을 더 커질 것입니다.
국가적으로 코로나 위기로 인해 어려운 소상공인을 최대한 돕고자 하는 방침에 따라서 양산시에서도
이러한 고충을 이해하고 공감하여 민원에 민감하여 반응하여 주시길 부탁드립니다.",2021-10-07,"1. 안녕하십니까? 귀하께서 2021. 10. 7. 국민신문고를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 귀하의 민원내용은 「물금읍 범어리 870 인근 오봉산 등산로 입구 청결유지 요청」에 관한 것으로, 검토 결과는 다음과 같습니다.

가. 현재 양산시 전역에는 쓰레기 통 또는 쓰레기 마대를 설치할 경우 주변으로 쓰레기가 더 모이고 길거리가 더욱 지저분해 보일 우려가 있어 쓰레기통을 설치하고 있지 않음을 양해하여 주시기 바랍니다.

나. 범어리 870 인근 오봉산 등산로 입구에는 담당 환경미화원이 배치되어 있으며, 노인일자리 2명이 투입되어 시가지 환경정비를 실시 중입니다.

다. 현장 확인 후 쓰레기 무단 투기가 자주 발생되는 장소 2곳에 무단 투기 금지 경고판을 부착하였으며, 담당 미화원에게 민원 내용 전달하여 환경정비에 더욱 신경쓰도록 하겠습니다.

3. 기타 궁금한 사항은 물금읍행정복지센터 환경팀(☏055-392-7034)으로 연락주시면 친절히 안내해 드리겠습니다.
",2021-10-12,물금읍
양산시,우측 보행,"수도권에서 이사온 전 산책하거나 길 갈 때 당황할 때가 한두번이 아닙니다
제가 알기로 우측보행이 법제화된게 2009년 10월 1일로 알고 있는데 아직도 좌측보행이 맞는줄 알고 있는 사람들이 많은 것 같습니다
오히려 왜 우측으로 걸어서 나의 좌측보행을 방해하느냐고 째려 보는이들도 있습니다
오늘 명동공원에 나와있던 초등학생들이 줄 맞춰 학교로 들어가는데 인솔교사가 좌측통행 알죠? 좌측통행해야 합니다라고 잘못 가르치는걸 보고는 어이가 없었습니다
저도 처음 시작되었을 때는 혼란스럽고 실수가 많았지만계속되는 홍보와 길가 표지를 보고 한참 걸려서야 익숙해졌던 기억이 있습니다
인파가 몰리는 지역 만이라도우측보행 표지판이나 바닥 화살표가 곳곳에 있어야 시골이라 역시라는 창피를 당하지 않을 것 같습니다
기본 중 기본 우측통행 알려 주셔요
기관에서 바로 잡고 해결할 일이 산적해 있겠지만 교사도 모르는 우측통행 같은 기본을 바로 잡아야 대도시에 나가도 당당하게 제 몫을 하지 않을까요?
표지판, 바닥 화살표등
어렵지 않은 일들이 속히 시행되길 기대합니다",2021-10-07,"1. 평소 시정발전에 관심을 가져 주신데 대하여 감사드립니다.
2. 귀하께서 건의하신 우측보행 통행표지판 설치 요청건에 대해 다음과 같이 답변 드립니다.

가. 귀하의 민원은 보행로상 우측통행에 대한 안내시설이 미비하여, 관련 시설물을 보완요청하신 것으로 사료됩니다.
나. 우측통행은 「보행안전 및 편의증진에 관한 법률」 제22조에도 명시되어 있는 내용으로, 보행자길에서는 우측통행을 원칙으로 합니다.
다. 다만 과거로부터의 관습으로 우측통행에 대한 인식이 미비한 부분이 있으므로, 요청하신 내용을 내부적으로 검토하여 표지판이나 바닥표시 등의 시설물 개선을 통해, 보행환경을 개선토록 하겠습니다.
라. 기타 궁금하신 사항이 있으시면 양산시 웅상출장소 경제교통과 교통팀(392-6084)으로 연락주시면 상세하게 답변 드리겠습니다.
",2021-10-15,도시관리과
