제목,날짜,내용,발행사,링크
"영양군 수비면주민자치위, 농번기 농촌일손돕기 나서",2023-04-26 12:22:38+00:00,영양군 수비면주민자치위원회와와 수비면사무소는 26일 농번기 일손부족으로 어려움에 처한 농가를 찾아 농촌일손돕기를 실시했다.이번 일손 돕기는 수비면주민자치위원회 회원 10명과 수비면 직원 등 20여명이 수비면 죽파리에 위치한 농가를 찾아 고추 심기 작업 등을 통해 농가의 일손을 덜어주는 의미 있는 시간을 가졌다.김거연 수비면주민자치위원회 회장은 “고추 심는 철에 일손부족으로 어려운 농가에게 도움을 줄 수 있어서 기쁘게 생각하고 앞으로도 도움이 필요한 농가가 있으면 적극 도와줄 수 있도록 하겠다”고 전했다.,일간경북신문,http://www.kbsm.net/news/view.php?idx=389533
"울타리USA 김민혁 대표, 영양군 고향사랑기부금 기탁",2023-04-26 12:19:05+00:00,"빛깔찬 고춧가루 수출업체인 울타리USA 김민혁 대표가 지난 25일 영양군청을 방문해 고향사랑기부금 500만원을 기탁했다.미국 내 한국 농산물을 유통하는 울타리USA 김민혁 신임 대표는 “고향사랑기부제를 통해 영양군 지역경제 활성화와 주민복지에 도움이 될 수 있어 매우 뜻깊게 생각하며, 영양군의 발전을 응원한다”라고 말했다.울타리 USA사는 2016년부터 ‘빛깔찬 고춧가루’의 미국수출을 진행했으며, 지난해에는 영양군 지역인재를 위해 인재육성장학금 700만원을 기탁하며 영양군 교육발전을 위해서도 힘써왔다.오도창 영양군수는 “영양군의 발전을 위해 고향사랑기부에 함께해 주신 울타리USA 김민혁 대표께 감사드린다”라며“앞으로도 영양고추의 세계적 우수성을 알리기 위해 노력하겠다”고 말했다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=389531
"영양군, 지역 보건사업 평가 ‘질병관리청장상’ 수상",2023-04-26 12:15:54+00:00,"영양군은 지난 25일 2022년도 지역 보건사업 우수사례 발굴 역량 강화 교육과정 평가에서 경상북도 우수기관으로 선정되어 ‘지역사회건강조사 유공기관 질병관리청장상’을 수상했다고 밝혔다.지역 보건사업 우수사례 발굴 역량강화 교육은 보건소별 만성질환 등 건강증진사업 담당자 1명씩, 전국 250여명이 참여해 연 50시간의 교육 동안‘자기 지역 우수 건강지표 발굴과 지역사회건강조사에서 양호하게 변화하는 건강지표 영향요인’을 과학적으로 분석해 우수사례를 도출하는 교육과정이다.이에 2022년 교육과정 시 영양군보건소는 지난 5년간의 지역사회건강조사 건강지표(혈압인지율, 고혈압 진단 경험률 등)의 변화를 분석해 ‘심근경색증 조기증상 인지율 개선사례’를 도출함으로써 이번에 질병관리청장상을 수상하게 됐다.장여진 보건소장은 “‘심근경색증 조기증상 인지율 개선사례’를 바탕으로 영양군민의 심뇌혈관질환으로 인한 부담을 최소화하기 위해 만성질환예방사업에 최선을 다하겠다”며 “향후에도 지역사회건강조사 등 건강지표의 체계적 분석을 통해 지역사회 현황에 맞는 건강증진사업을 마련하겠다”고 밝혔다",일간경북신문,http://www.kbsm.net/news/view.php?idx=389530
"영양군 귀농협회, 영양군인재육성장학금 기탁",2023-04-25 14:25:35+00:00,영양군 귀농협회는 25일 (재)영양군인재육성장학회를 찾아 장학금 100만원을 전달했다.최봉석 귀농협회 회장은“영양군 학생들이 소중한 꿈을 펼치는 데 조금이나마 도움이 되길 바라는 마음으로 회원들의 정성을 모아 장학금을 기탁하게 됐다”며“앞으로도 도움의 손길이 필요한 곳을 찾아 지원함으로써 지역과 함께하는 귀농협회가 되도록 최선을 다하겠다”고 말했다.,일간경북신문,http://www.kbsm.net/news/view.php?idx=389400
"영양군, 녹색출근길 캠페인 펼쳐",2023-04-25 14:05:53+00:00,"영양군은 ‘53주년 지구의 날’을 기념해 탄소중립 인식제고 및 생활실천을 확산하고자 25일 녹색출근길 행사를 진행했다.이 행사는 출·퇴근 시 도보나 자전거, 버스 등 대중교통을 이용하는 출근길 행사로 공공기관이 앞장서서 탄소중립 생활실천을 보여줌으로써 군민들의 참여를 확산·유도하는 운동이다.기후변화 대응의 일환으로 탄소중립(Net-Zero)이 날로 강조됨에 따라 영양군도 저탄소 생활실천을 위해 ▲운행 경유차 보조사업 ▲탄소포인트제 운영 ▲탄소중립 생활실천 운동 등 다양한 사업을 추진하고 있다.임형수 환경보전과장은 “탄소중립 생활 실천은 일상적인 작은 행동으로 시작할 수 있는 일이며, 이러한 행동들이 모여 지구를 구하는 한 걸음이 될 수 있다”고 말했다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=389394
`제18회 영양산나물축제` 바이크 홍보단 발대,2023-04-25 11:13:29+00:00,"영양군은 지난 23일 (재)영양축제관광재단 축제추진위원회와 경북북부할리오너스그룹H.I 회원 등 관계자 50여명이 참석한 가운데 영양군청 전정에서 영양산나물축제 바이크 홍보단 발대식을 개최했다.‘경북북부할리오너스그룹H.1’은 2018년 창단되어 영주, 안동, 예천 등지에 거주하는 회원 60여명이 바이크를 통한 전국 여행과 더불어 다양한 봉사활동을 펼치는 바이크 동호회이다. 올해로 18회를 맞이한 영양산나물축제의 전국 홍보를 돕고자 뜻을 모았고, 발대식 이후에는 축제성공을 기원하는 읍시가지 라이딩 퍼포먼스를 펼쳤다. 이후 바이크 홍보단은 라이딩 투어 시에 각 바이크에 영양산나물축제 홍보깃발을 부착하고 전국을 누비면서 홍보활동을 펼친다.김주식 경북북부할리오너스그룹H.1 리더는 “몸에 좋은 산나물을 테마로 펼쳐지는 축제를 직접 홍보하게 된 만큼 더 안전하고 건강하게 적극적인 홍보활동을 펼치겠다”라고 말했다. 배창석 축제추진위원장은 “영양산나물축제의 성공적인 개최를 위해 함께해주신 경북북부할리오너스그룹H.1 회원들에게 진심으로 감사드리며 노력해 주신 만큼 내실 있는 축제가 될 수 있도록 열심히 준비하겠다”고 전했다.한편 제18회 영양산나물축제는 5월 11일부터 14일까지 4일간 영양군청, 영양전통시장, 일월산 일원에서 개최된다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=389333
[동정] 오도창 영양군수,2023-04-24 11:55:01+00:00,오도창 영양군수는 25일 오후 2시 군수 집무실에서 진행되는 ‘인재육성장학금 전달식’에 참석한다.,일간경북신문,http://www.kbsm.net/news/view.php?idx=389195
"영양군보건소, 나 혼자 걷기 챌린지 운영",2023-04-24 11:53:17+00:00,"영양군보건소는 코로나19 유행 이후 줄어든 신체활동 실천 활성화를 유도하기 위해 나 혼자 걷기 챌린지를 운영한다고 24일 밝혔다.지역사회건강조사에 따르면 영양군은 2019년 걷기 실천율이 44.0%에 2021년 20.6%로 급격히 감소했다. 이에 영양군보건소는 군민의 건강생활 실천 향상을 위해 관내 지역주민을 대상으로 나 혼자 걷기 챌린지를 진행한다.걷기 챌린지는 5월 1일부터 7월 31일까지 9만보 걷기를 목표로 하며, 달성자에게는 운동 관련 물품을 증정한다. 단, 걸음 수는 1일 최대 1만 5000보까지만 인정한다.걷기 챌린지에 참가를 원하는 경우 ▲보건소 2층 건강상담실 신청서 작성 ▲인바디 측정 ▲만보계 및 운동물품을 지원 받고, 걷기 실시 후 밴드에 인증 하면 된다.장여진 보건소장은“걷기 챌린지 운영을 시발점으로 모든 군민들이 걷기 운동 실천으로 건강 증진에 도움이 되었으면 한다”고 말했다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=389194
"영양청우회, 다문화가정 주거환경개선 봉사",2023-04-24 11:49:22+00:00,"영양청우회는 지난 22일 석보면 거주 다문화가정에 주거환경개선을 위한 도배 및 장판 교체 봉사활동을 진행했다.영양청우회와 영양군다문화가족지원센터는 2022년에 업무협약을 맺어 지난해에 이어 올해도 주거환경이 취약한 다문화가정에 봉사활동을 실시했다.오래된 가옥구조로 주거환경이 열악하나 경제적 어려움을 가진 다문화가정에 쾌적하고 안락한 보금자리를 제공하여 삶의 질을 향상할 수 있도록 영양청우회는 뜻을 모아 온정의 손길을 펼쳤으며, 이번 봉사활동을 계기로 영양군 다문화가정들이 지역사회에 잘 적응하고 행복한 가족생활을 영위하는 데 관심을 갖는 계기가 됐다.영양청우회 정재훈 회장은 “앞으로도 영양군다문화가족지원센터와 연계하여 주거환경 개선이 필요한 다문화가정에 적극적이고 다양한 봉사로 지역사회 통합에 이바지하겠다”고 포부를 밝혔다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=389193
청정 영양에서 반려동물과 함께 신나게 놀아요,2023-04-23 09:16:31+00:00,"영양군은 내달 13일 입암면 선바위공원 일원에서 지역사회와 함께하는 올바른 반려동물 문화 정착을 위해 `영양군과 함께하는 반려동물 축제` 를 진행한다고 23일 밝혔다. 이번 개최되는 반려동물 축제는 반려 인구 1400만 시대에 동물복지에 대한 인식개선과 사람과 동물이 공존하는 건전한 반려 문화 정착을 위해 군 단위 지자체로는 처음으로 실시되는 행사다.주요 행사로는 펫티켓 퀴즈, 반려동물운동회 등 체험형 경품 및 이벤트 행사와 수제 간식 만들기, 셀프 미용, 행동 교정 및 무료 건강상담 등 참여형 행사가 진행되며 4개 존(zone) 12개 부스에서 운영된다. 오도창 영양군수는 “요즘 반려동물에 관한 관심과 수요가 급증하는 시대적 상황에 발맞추어 반려 문화 조기 정착을 위해 군에서 처음으로 개최되는 행사인 만큼 반려인과 지역주민들의 많은 참여 부탁드린다”고 전했다.한편, 영양군은 지난해 유기·유실 동물의 적절한 보호와 관리를 위해 유기 동물보호소를 개소한 데 이어 올 상반기 중 반려동물 놀이터를 개장하며 내년에는 반려동물 진료 서비스 개선을 위해 동물보호센터를 개원할 예정이다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=389057
[동정] 오도창 영양군수,2023-04-21 18:37:23+00:00,오도창 영양군수는 24일 오전 8시30분 군청 대회의실에서 개최되는 ‘5월 확대간부회의’에 참석한다.,일간경북신문,http://www.kbsm.net/news/view.php?idx=388992
"영양군 지사협, 취약계층에 긴급구호식품 ‘이머전시 푸드팩’ 전달",2023-04-21 18:25:35+00:00,"영양군지역사회보장협의체는 경북광역푸드뱅크로부터 긴급구호식품 ‘이머전시 푸드팩’ 100여 개를 지원받아 취약계층 50명에게 전달할 예정이다.㈜농심에서 시행하는 ‘이머전시 푸드팩사업’의 지원 대상은 위기 상황이나 경제적인 어려움 등으로 식품 지원이 필요한 취약계층으로 공적 지원체계의 사각지대에 있는 취약계층에 긴급하게 먹을 수 있는 식품이 담긴 2개월 분량의 식품으로 구성되어 있으며 읍면지역사회보장협의체를 통해 전달된다.영양군의 푸드뱅크사업은 타지역의 기업과 개인으로부터 식품 및 생활용품등을 기부 받아 지역의 결식아동, 독거노인 등 저소득 취약계층에게 지원하는 것으로 지난해에는 3600여 명에게 KF마스크, 녹용홍삼, 콜라겐스틱, 마틸다침구류 등 40여 종의 푸드뱅크 물품 16만 개를 취약계층에게 무료로 지원했다.오도창 공공위원장은 “인간이 살아가는 데 꼭 필요한 의식주의 한 축인 음식을 나누는 푸드뱅크사업이야말로 세상에서 가장 따뜻한 나눔이자, 가치를 창출하는 사회공헌사업으로 특히 기부 받을 수 있는 기업이 매우 부족한 영양지역에 소중한 자원이 될 것이며, 아울러 이 사업을 통해 복지사각지대를 해소하고 결식계층 제로사회에 더 가까워질 수 있도록 노력하겠다""라고 전했다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388991
"영양교육지원청, 장애학생 인권지원단 협의회 개최",2023-04-21 11:00:09+00:00,"영양교육지원청은 지난 20일 영양교육지원청 3층 회의실에서 2023학년도 장애학생 인권지원단 협의회를 개최했다. 장애학생 인권지원단 협의회는 장애학생의 인권보호 및 인권침해를 예방하여 장애학생의 행복한 학교 교육을 실현하기 위하여 교육지원과장을 단장으로 특수교육 담당 장학사, 일반학교감, 특수교사, 상담교사, 여성청소년계장, 보건교사, 학부모 9명의 위원으로 구성되어 있다.이번 장애학생 인권지원단 협의회는 장애학생 인권보호를 위한 학교 지원 및 유관기관과의 협력 방안을 모색하고 더봄학생에 대한 정보를 공유하여 지원 방안을 모색하기 위해 협의회가 개최됐다.김유희 교육장은 “장애학생의 인권 침해 사례가 없는지 정기 현장지원을 실시하여 수시로 점검하고, 인권지원단 각 분야별 전문가들과 지속적인 연계를 통해 장애학생 인권 보호 및 학교 폭력, 성폭력 예방을 위해 지속적으로 노력하겠다 ”고 말했다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388943
"영양군, 신규공무원 오리엔테이션 실시",2023-04-20 11:42:27+00:00,"영양군은 20~21일 영양군청소년수련원에서 신규공무원 47명을 대상으로 조직문화 적응 및 업무수행능력 향상을 위한 신규공무원 오리엔테이션을 실시했다.이번 오리엔테이션은 신규 공무원으로서 가져야 할 기본자세에 대한 교육과 동기 간 소통과 협업 능력을 기르는 팀빌딩 등 다양한 프로그램으로 구성됐다.오리엔테이션에 참석한 한 신규 공무원 김모(26·여)씨는 “이번 오리엔테이션을 계기로 공직자의 역할과 책무에 대해 다시 한 번 생각해보게 되었고, 영양군 공무원으로서 자긍심을 갖게 됐다”며“앞으로 영양군민의 안전과 행복을 위해 책임을 다하는 공직자가 되겠다”고 포부를 밝혔다.오도창 영양군수는 “지금의 마음가짐을 잊지 말고 군민을 위한 공직자가 돼달라”고 당부하며, “무한한 가능성을 지닌 여러분들이 비전을 갖고 영양군 발전의 주역이 되길 바란다”고 말했다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388800
[동정] 오도창 영양군수,2023-04-20 10:53:31+00:00,오도창 영양군수는 21일 오후 5시 울진종합운동장에서 개최되는 ‘제61회 경상북도민체육대회 개막식’에 참석한다.,일간경북신문,http://www.kbsm.net/news/view.php?idx=388786
"영양군 도시재생지원센터, 플리마켓 ‘별별마당’ 개최",2023-04-20 10:52:03+00:00,"영양군 도시재생지원센터는 지난달에 이어 21일 영양 양조장 마당에서 도시재생 플리마켓 ‘별별마당’을 개최한다고 밝혔다. 이번 행사는 도시재생사업으로 지난해 구성된 영양군 플리마켓추진위원회와 관내 수공예 및 먹거리 판매를 할 주민들의 자발적 참여로 기획됐다.수공예(아름다움공방, 들꽃, 솔향원, 몰링유, 아틀리에 헤랑, 꽃일다, 별다바공방) 7팀과 먹거리(영양군꽃차사회적협동조합, 스윗트리팜, 또바기건어물, 도니디저트, 농부의키친, 봄샐러드) 6팀, 총 13팀이 참여해 수공예 소품 및 목공예품, 보존화, 포슬린아트, 꽃차, 건어물, 영양군 농·특산물 등을 판매할 예정이다.이후 내달 11일부터 14일까지 개최되는 산나물축제기간 중에 같은 장소에서 플리마켓을 열고, 영양 양조장에서는 생산될 막걸리 시음회도 개최하며, 6월부터는 매월 4주차 금요일에 개최할 예정이다.배준현 센터장은“지난 3월에 개최된 플리마켓이 성공적으로 마무리되어 이번에도 플리마켓 ‘별별마당’을 연속적으로 열 수 있었다”며, “앞으로 영양 양조장에서 생산될 막걸리도 같이 홍보하고, 지역사회 활성화와 상생에 이바지하도록 하겠다”고 밝혔다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388784
"영양군, 제61회 경북도민체육대회 참가...294명 규모",2023-04-20 10:42:07+00:00,"영양군은 이달 21일부터 24일까지 4일간의 일정으로 울진군에서 개최되는 제61회 경상북도 도민체육대회에 참가한다.이번 대회에서 영양군은 임원 81명, 참가선수 213명 등 총 294명 규모의 선수단을 구성하여 지난 11일 영양군민회관에서 선수단 결단식을 개최했으며, 영양군 역사상 최초로 사전경기 5개 종목을 포함하여 군부 16개 전 종목에 참가한다.본경기에 앞서 지난 14일부터 17일까지 4일간의 일정으로 개최된 사전경기(5개 종목/축구,골프,궁도,테니스,농구)에 참가한 영양군은 고등부 축구(2부) 결승전에서 칠곡군을 꺾고 우승을 차지하는 쾌거를 이루어 영양군의 위상을 드높였다.한편 영양군은 2022년 포항에서 개최된 제60회 경북도민 체육대회에서 금메달 10개, 은메달 13개, 동메달 10개를 획득하여 등 영양군은 군부 종합 10위의 성적을 거둔 바 있다.박재서 영양군 체육회장은 “이번 대회에서 영양군 최초로 군부 16경기에 참여하는데 큰 의미가 있으며 제61회 도민체전 선수단이 소기의 성과를 이루어 내기를 바란다”고 말했다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388777
"(재)영양군인재육성장학회, 2023년 장학심의회 개최",2023-04-19 11:26:02+00:00,"재단법인 영양군인재육성장학회는 지난 18일 군청 대회의실에서 2023년도 영양군인재육성장학회 장학생선발을 위한 장학심의회를 개최했다.장학회는 지난달 2일부터 24일까지 장학생 선발 신청서를 접수 하였으며, 총 290명이 장학생 지원서를 제출했다. 이날 회의는 오도창 위원장의 주재로 총 9명의 위원이 참석한 가운데 고등학교 장학생 46명, 대학교(반값)장학생 129명, 대학교(재학) 장학생 48명, 대학교(영양사랑)장학생 24명, 특별장학생 1명, 특기장학생 6명 등 254명의 장학생과 대학교 계속장학생 35명을 포함하여 총 289명의 장학생을 선발하여 2억 3000여만원의 장학금을 지급하기로 의결했다.오도창 위원장은 “지역 학생들이 학업에 정진할 수 있는 환경을 조성하기 위해 노력하고 있으며, 앞으로도 계속 장학사업을 확대하여 지역 학부모들의 교육비 부담을 줄이고 학생들이 꿈을 이룰 수 있도록 노력하겠다”고 밝혔다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388615
`제18회 영양산나물축제` 5월 11일 개막,2023-04-19 11:21:02+00:00,"제18회 영양산나물축제가 내달 11일부터 14일까지 4일간 영양군청, 영양전통시장, 일월산 일원에서 개최된다.올해로 18회를 맞이한 영양산나물축제는 청정 영양 산나물의 맛과 정취를 한껏 즐길 수 있는 영양군 대표 축제로서 지난 세월동안 수많은 관광객에게 건강한 기쁨을 선사하면서 전국 대표 축제로 발돋움 해왔다. 올해도 어김없이 영양군청과 영양전통시장 일원에 축제의 장을 열어 영양의 자랑거리 산나물과 여러 볼거리, 즐길거리를 마련한다.몸에 좋은 산나물을 저렴하게 구매할 수 있는 산나물장터, 구경꾼들의 눈길을 사로잡을 산나물 테마거리, 초록빛 인생샷을 건져갈 수 있는 산나물 포토존, 축제의 꽃이라 할 수 있는 맛있는 먹거리가 넘쳐나는 산촌 먹거리촌 등 새롭고 알찬 즐길거리 공간을 제공한다.또한 단순히 축제장을 구경하는 것뿐만 아니라 산나물 채취체험, 반려동물 문화축제, 비대면 마라톤대회, 라이트아웃 트래킹, 영양산나물 전국가요제, 영양고유 사투리경연대회, 별이 빛나는 밤에 콘서트 등 가까이에서 청정영양을 직접 느끼고 체험하고 추억할 수 있는 다채로운 프로그램도 운영하여 관광객들의 마음을 사로잡을 예정이다.오도창 영양군수는 “올해 5월도 영양에서 주민과 관광객 모두가 신나게 즐기실 수 있도록 알찬 산나물축제를 준비 중이니 꼭 축제장을 방문하셔서 축제를 즐기시기를 바란다”라고 전했다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388611
"영양군, 산악인 엄홍길 초청 ‘4월 별빛아카데미’ 개최",2023-04-19 10:03:49+00:00,영양군은 지난 18일 영양문화체육센터에서 산악인 엄홍길을 초청해 ‘4월 영양군별빛아카데미’ 강연을 개최했다.영양군민이면 누구나 참여할 수 있는 영양별빛아카데미는 군민들에게 문화적 소양을 쌓고 명사들과 소통할 수 있는 기회를 제공하고자 각 분야의 저명인사를 초청해 강연하는 프로그램이다.이 날 강연에서 엄홍길 대장은 ‘불굴의 도전정신’이라는 주제로 끊임없는 도전과 실패를 두려워하지 않는 용기의 메시지를 전달했다. 특히 시종일관 흥미로운 에피소드와 재치 있는 입담으로 청중으로부터 큰 공감과 호응을 얻었다.오도창 영양군수는 “오늘 강연으로 군민들이 용기를 얻어 끊임없이 도전하여 끝내 각자의 목표를 성취하길 기원한다”며“앞으로도 군민들이 배우고 힐링할 수 있는 다양한 강연을 자주 마련하겠다”고 전했다.,일간경북신문,http://www.kbsm.net/news/view.php?idx=388589
"박준로 영양부군수, ‘이심전심 통큰 톡톡’ 개최",2023-04-18 14:05:44+00:00,"박준로 영양부군수는 18일 산촌문화누림센터 회의실에서 6급 팀장 40여명과 함께 ‘영양, 의사소통이면 만사형통’라는 주제로 열린 대화의 시간을 가졌다.지난 1월 1일, 영양군에 부임한 박준로 부군수는 민선8기 군정 추진에 있어 실질적인 실무를 담당하는 6급 팀장들과의 격의 없는 대화를 통해 군정 철학을 공유함으로써 보다 발전적인 목표를 향해 나아가는 계기를 마련하고자 이번‘이심전심 통큰 톡톡’을 개최했다.특히, 부서 내 부서장과 팀원 간의 가교역할을 수행하는 과정에서 겪는 고충과 애로사항을 청취하고, 영양군의 당면현안인 관광자원을 활용한 생활인구 증가와 관광 영양을 위해 자유롭게 토론하는 시간을 가졌다.이번 행사는 일상 업무환경에서 벗어나 잠깐의 휴식을 갖고, 자유로운 분위기에서 소통을 할 수 있는 자리를 마련하고자 군청이 아닌 산촌문화누림센터 회의실에서 개최하여 참석자들의 호응을 얻었다.박준로 부군수는 “본격적인 지방자치 시대를 맞아 기초 지방자치단체에 수행하고 있는 행정영역에서 6급 팀장들의 역할이 점점 커지고 있으며, 이를 수행하기 위해서는 다양한 공직 전문성이 더욱 요구되고 있다”며 “전문성 제고와 함께 MZ세대의 공직 진입에 따른 부서 내 조직문화 변화에도 유연하게 대처해 주기를 당부한다”고 말했다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388459
"영양고, `제61회 경북도민체육대회` 고등부 축구 우승",2023-04-18 11:53:53+00:00,"영양고등학교가 지난 17일 `제61회 경북도민체육대회`에서 영양군 개군 이래 최초로 고등부 축구 군부 우승을 차지했다. 울진 연호체육공원에서 열린 제61회 경북도민체육대회 고등부 축구 결승전에서 영양군 대표로 영양고 학생 16명과 수비고 학생 1명으로 연합팀을 구성해 칠곡군에게 전·후반 팽팽한 접전 끝에 0대 0으로 비겼으며, 이어진 승부차기에서 4대 2로 꺾고 우승을 차지했다.영양고등학교 최병국 교장은 “영양군 체육회 고등부 축구 감독과 선수들의 열정이 합쳐져 사상 최초 영양군 고등부의 축구 종목 첫 우승의 영예를 안았다”며 “이번 도민체육대회에서 남은 종목에도 좋은 성적을 올리도록 지원을 아끼지 않겠다""고 말했다.한편, 제61회 경북도민체육대회는 이달 21일부터 24일까지 4일간 울진군 일원에서 개최될 예정으로 축구를 비롯한 일부 종목은 사전 경기로 열리고 있다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388436
[동정] 오도창 영양군수,2023-04-18 10:58:03+00:00,오도창 영양군수는 19일 오후 2시 군청 소회의실에서 진행되는 ‘한국관광공사 관광두레사업 MOU 체결식’에 참석한다.,일간경북신문,http://www.kbsm.net/news/view.php?idx=388429
"영양군, 상반기 농어민수당 지급",2023-04-17 14:06:39+00:00,"영양군은 이달 14일부터 내달 31일까지 농업의 공익적 가치를 유지·증진하는 2023년 ‘농어민수당’을 지급한다고 밝혔다.올해 상반기 농어민수당은 농가당 30만원씩 총 3897농가에 11억 7000만원을 영양사랑상품권으로 지급하며, 대상자는 내달 31일까지 본인 확인이 가능한 신분증을 지참하고 주소지 관할 읍·면 지역농협을 방문해 수령할 수 있다.영양군은 올해 초 주소지 읍·면사무소를 통해서 농어민수당 신청을 받았고 주소와 농업경영체 등 자격요건을 모두 갖춘 자를 지급대상자로 선정했으며, 선정된 대상자는 농어민수당 수령 시까지 자격을 유지하여야 농어민수당을 지급받을 수 있다.오도창 영양군수는 “농어민수당 지급을 통해 농업인들의 자긍심 고취는 물론, 지속가능한 농업환경 조성을 위해 애쓰시는 농업인들에게 조금이나마 보탬이 되었으면 한다”고 밝혔다. 한편 농업축산과와 읍·면에서는 자격요건을 갖춘 농업인이 신청을 누락해 지급받지 못하는 일이 없도록 적극 홍보하여 수당지급에 철저를 기하겠다고 거듭 밝혔다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388335
"영양교육지원청, ‘2023 도전! 해달뫼 별따기 교육장 인증제’ 운영",2023-04-17 11:59:02+00:00,"영양교육지원청은 초·중·고 학생을 대상으로 하는 ‘2023 도전! 해달뫼 별따기 교육장 인증제’ 활성화를 위한 추진운영단을 연중 운영한다고 17일 밝혔다.‘도전! 해달뫼 별따기 교육장 인증제’는 초3~고2 학생을 대상으로 작은 별 반딧불이 아이들(인문), 각별한 독도 수비대(인문), 별천지 영양 지킴이(봉사), 특별한 우리 영양 속으로(체육)총 4개 도전과제 중 1개 이상을 학생 스스로 선택해 도전하는 프로그램이다.특히 학교의 업무부담을 경감하고 교육 수요자의 프로그램 접근성을 높이기 위한 방법에 초점을 두어 운영 계획을 수립했다. 구글 신청서를 통해 학생 및 학부모가 직접 신청하고 도전 결과물을 영역별 페들렛을 활용하여 제출할 수 있도록 했다. 또한 각 영역별 운영 위원을 두어 상시 모니터링을 하여 학생, 학부모, 학교의 프로그램 만족도를 높이도록 했다. 김유희 교육장은 “도전! 해달뫼 별따기 교육장 인증제를 통해 영양 지역의 학생들이 스스로 배우고 성장할 수 있는 좋은 기회가 되길 바란다”고 했다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388296
[동정] 오도창 영양군수,2023-04-17 11:28:29+00:00,오도창 영양군수는 18일 오후 2시 문화체육센터에서 개최되는 ‘영양별빛아카데미’에 참석한다.,일간경북신문,http://www.kbsm.net/news/view.php?idx=388288
"영양군, `제43회 장애인의 날 기념행사’ 개최",2023-04-14 17:05:17+00:00,"영양군은 14일 영양군민회관에서 경북장애인종합복지관 영양분관 주관으로 ‘제43회 장애인의 날 기념행사’를 개최했다. 이 날 행사에는 관내 장애인과 가족, 자원봉사자, 장애인단체 및 기관에서 500여명이 참석한 가운데 식전 축하공연으로 경북장애인종합복지관 영양분관의 난타공연과 초대가수 지명화의 무대, 경북행복재활원의 댄스공연에 이어 장애인 복지와 행복증진을 위해 힘쓴 분들에 대한 표창과 공로패를 수여하는 시간을 가졌다.오도창 영양군수는 “다시 일상을 되찾고 코로나19 이후 4년 만에 개최하는 장애인의 날 행사 임에도 불구하고 많은 분들이 참여하여 행사를 빛내 주어 기쁘게 생각하며, 앞으로도 장애인의 복지와 행복증진을 위해 더욱 힘쓰도록 하겠다”고 말했다.한편 매년 4월 20일은 ‘장애인의 날’로 장애인에 대한 이해와 재활의욕을 고취하고, 복지 증진의 계기를 마련하기 위해 지정된 법정 기념일이다.",일간경북신문,http://www.kbsm.net/news/view.php?idx=388084
[동정] 오도창 영양군수,2023-04-14 17:01:54+00:00,오도창 영양군수는 17일 오전 8시30분 군청 소회의실에서 개최되는 ‘간부회의’에 참석한다.,일간경북신문,http://www.kbsm.net/news/view.php?idx=388081
