제목,저자,날짜,url,내용
[동정] 이태훈 대구달서구청장,경북신문,2023-06-07,http://www.kbsm.net/news/view.php?idx=394166,이태훈 대구달서구청장은 8일 오전 10시 구의회 본회의장에서 열리는 ‘제297회 달서구의회(제1차 정례회) 제1차 본회의’에 참석한다.
"대구시, UAM분야 R&D사업 기업 참여방안 설명회",경북신문,2023-06-07,http://www.kbsm.net/news/view.php?idx=394165,"대구시가 국책연구기관, SKT, 한국공항공사, 한화시스템 등의 전문가들과 함께 지역기업 UAM산업 참여방안 모색한다. 시는 8일 오전 10시 인터불고엑스코호텔에서 경북대학교 및 지능형자동차부품진흥원과 함께 100여 명의 산·학·연 관계자들이 참석한 가운데 ‘정부 UAM R&D 사업 기업설명회’를 연다.최근 정부는 도심항공교통(UAM)의 초기 상용화(2025년∼) 이후 본격적인 성장기(2030년∼)에 대비해 UAM 핵심기술을 선제적으로 개발하기 위한 R&D 사업을 구상 중에 있다.특히 지난 4월 국토부의 UAM 안전운영체계 핵심기술개발 사업이 예비타당성 조사대상 사업으로 선정됨에 따라 내년부터 국비지원사업 공모가 추진될 것으로 전망되고 있다.이에 따라 시는 정부정책에 선제적으로 대응하기 위해 산·학·연·관 전문가가 참여하는 정부 UAM 연구개발 사업 기업설명회를 마련했다.국토교통부 산하 국토교통과학기술진흥원과 산업통상자원부 산하 한국산업기술평가관리원, SKT, 한국공항공사, 한화시스템을 비롯해 지역 자동차부품기업과 항공우주산학융합원, 한국자동차연구원, 대구기계부품연구원, 계명대학교, 인하대학교 등이 참석한다.설명회에는 국토교통부와 산업통상자원부 UAM R&D 사업을 기획하는 담당 디렉터가 직접 참석해 정부가 추진 중인 R&D 기획 과제 추진현황과 지역기업의 역할 및 참여 방향에 대해 발표한다.이외 강동관 한화시스템 부장과 이형석 베셀에어로스페이스 부장이 기업에서 개발 중인 UAM 기체와 동력추진체(배터리, 모터 등), 항공전자 분야의 세부 개발 동향에 대한 발표와 함께 지역기업인 김현진 평화발레오 전무는 자사가 개발해 상용화 중인 수소관련 제품 소개 및 향후 UAM 부품 적용 가능성에 대한 논의할 예정이다.특히 이번 설명회는 역량 있는 UAM 선두기업과 지역 모빌리티 부품기업, 정부 연구기관, 수도권 대학과 지역기업이 대거 참석하는 만큼 앞으로 상호 협력을 통해 대구 UAM 산업 육성을 위한 정보교류와 공감대를 조성하는 계기가 될 것으로 기대된다.한편 대구시는 올해 ‘UAM 등 모빌리티 산업기반 구축 사업’을 통해 UAM 기술경쟁력 강화 관련 R&D 과제를 선정·지원하고 있다. ‘미래차 선도기술 개발 사업’과 연계해 UAM 핵심부품(배터리, 모터 등) 분야 R&D 과제도 적극 지원하는 등 지역 기업들이 UAM 산업으로 성장·발전이 가능한 핵심기술을 개발할 수 있도록 정책적, 재정적 지원을 하고 있다. 최운백 시 미래혁신성장실장은 “국토부가 추진 중인 UAM 상용화 시범서비스 도시로 선정됨과 함께 지역기업·기관들이 UAM산업 분야로의 진입과 역외 관련 기업 유치 등 다각적인 노력을 기울여 대구가 UAM산업 거점도시가 될 수 있도록 최선을 다하겠다”고 말했다."
"코레일 대구역, 요나지역아동센터 초청 해피트레인 운영",경북신문,2023-06-07,http://www.kbsm.net/news/view.php?idx=394164,코레일 대구경북본부 대구역이 지난 5일 취약계층 어린이를 위한 기차여행 `해피트레인`을 운영했다. 이번 여행은 지역 소규모 아동센터인 요나지역아동센터와 협력해 복지 사각지대에 놓인 취약계층 어린이들에게 열차여행의 기회를 제공하기 위해 마련됐다.이날 참가한 초등학생 27명은 대구역에서 ITX-새마을 열차를 타고 신해운대로 이동한 뒤 부산 아쿠아리움 구경 및 해운대 해변가 거닐기 등 여행을 즐겼다.김동섭 코레일 대구역장은 “어린이들에게 즐거운 추억이 됐길 바란다”며 “앞으로도 다양한 사회공헌활동을 마련해 사회적 책임을 다하는 코레일이 되겠다”고 말했다.
"대구TP, 남미 콜롬비아에 `새로운 물길` 열어",경북신문,2023-06-07,http://www.kbsm.net/news/view.php?idx=394161,"대구 물산업 기술이 지구 반대편인 남미 콜롬비아에서도 꽃을 피웠다.대구테크노파크(이하 대구TP)가 최근 콜롬비아 비야비센시오시 수도 보고타와 인접한 메타주의 주도인 비야비센시오에서 `수처리 테크노파크`와 `마을정수장 준공식`을 열었다고 밝혔다.콜롬비아 수처리 테크노파크는 산업통상자원부의 공적개발원조(ODA) 사업의 일환으로 대구TP가 확보한 국비 약 60억원을 투입해 조성했다. 공여국의 자금과 기술로 수원국 콜롬비아의 수처리 기술 향상을 통한 상수도 수질 개선을 목적으로 추진됐다.지난 2019년에 착수한 이번 사업은 코로나19와 현지의 입지선정 문제 등으로 인해 거의 중단됐다가 지난해 도건우 원장 취임 후 급물살을 타기 시작했다. 대구TP가 시공업체와 수원국을 지속적으로 독려한 결과 약 6개월의 공기를 단축, 결실을 맺게 됐다.도건우 대구TP 원장은 ""대구 공공기관이 추진한 최초의 공적개발원조(ODA) 사업이 성공적으로 결실을 맺었다는 점에서 `글로벌 대구`의 위상을 높이는 중요한 계기가 될 것”이라고 말했다. 비야비센시오시가 운영하는 정수장에 건설한 ‘수처리 테크노파크’는 지상 2층 규모(연면적 2000㎡)다. 수질분석 실험실, 회의실과 사무실 등을 갖추었고, 실험실에는 전문적인 수질분석이 가능하도록 40여 종의 기자재가 설치돼 있다.상수도가 보급되지 않은 마을 3곳에는 현지 맞춤형 정수처리 시스템을 구축했다. 특히 정수처리 시스템은 대구국가산업단지에 소재한 국가물산업클러스터 입주기업인 ㈜미드니가 생산한 제품이다.도 원장은 ""콜롬비아의 수처리 기술 향상뿐만 아니라 양국간 물산업 동반 성장을 위한 다각적인 지원을 펼쳐나갈 것”이라며 “이번 콜롬비아 진출을 계기로 물산업 뿐만 아니라 ABB(인공지능, 빅데이터, 블록체인) 기술에 기반한 ICT산업 등의 핵심산업 분야들도 중남미 국가들과 협력을 확대해 나가겠다""고 밝혔다.한편 이날 행사는 수원국을 대표해 비야비센시오시 후안 펠리폐 시장, 데이비드 안드레스 상하수도공사 사장 등이 참석했고 대한민국 대표로 도건우 원장, 이왕근 주콜롬비아 대사, 박천교 한국산업기술진흥원 센터장 등 양국 관계자 50여명이 함께했다."
"대구 수성 벼룩시장, 성황리 개최···10일 만촌 화랑공원서 `또 만나요`",경북신문,2023-06-07,http://www.kbsm.net/news/view.php?idx=394155,"대구 수성구 수성못 남측 산책로에서 열린 첫 벼룩시장이 성황리에 끝났다. 7일 수성구에 따르면 행사에 참여한 20여팀의 판매자들은 중고 장난감, 인형, 동화책 등 어린이용품부터 주방용품, 옷장 속의 옷가지들까지 다양한 물품을 판매했다.참가자들은 경제관념과 자원순환의 가치를 자녀에게 가르쳐주고 싶은 가족, 초등학생 단체 등 각양각색을 이뤘다.누군가에게는 쓸모가 다한 물건이 몇백원, 몇천원의 저렴한 가격에 새로운 주인을 찾았으며 발생한 판매 수익금의 30% 정도는 자율기부로 적립해 올 연말 저소득층을 위해 사용된다. 개장 첫날 모금액은 21만원 정도였고 도움이 필요한 어려운 이웃들에게 기부될 예정이다. 지난 2010년부터 현재까지 누적 기부금은 약 4600만원 정도다.다음 벼룩시장은 오는 10일 오후 1시부터 오후 4시까지 만촌동 화랑공원에서 열릴 예정이다."
[동정] 홍준표 대구시장,경북신문,2023-06-07,http://www.kbsm.net/news/view.php?idx=394150,홍준표 대구시장은 8일 오후 2시 인터불고 엑스코에서 열리는 `2023년 사회복지협의회 전국대회`에 참석한다.
"대구 동구, 평생학습동아리 모집",경북신문,2023-06-07,http://www.kbsm.net/news/view.php?idx=394148,"대구 동구가 평생학습 동아리 지원사업에 참여할 동아리를 모집한다.7일 동구에 따르면 이 사업은 개인과 공동체가 함께 변화하고 성장할 수 있는 평생학습 문화 확산을 위해 지역 내에서 활동하고 있는 다양한 동아리를 발굴하고 육성하기 위해 마련됐다. 심사를 통해 총 10개의 평생학습 동아리를 선정할 예정이며 각 동아리별로 강사비 40만원 정도를 지원한다.선정된 동아리는 역량강화를 위한 학습을 진행하고 학습 활동 성과를 재능기부, 봉사 활동 등으로 연계해 학습 나눔 활동에 참여하게 된다.신청 대상은 동구에서 활동 중인 학습 동아리로 구민이 70% 이상이어야 한다. 매월 2회 이상 10여명 내외 학습자들이 자발적, 정기적인 모임을 운영하는 동아리면 된다.참여를 희망하는 동아리는 오는 12일부터 20일까지 전자우편 또는 방문 접수로 신청하면 된다. 윤석준 동구청장은 “평생학습 동아리가 지역 학습문화를 이끌어가는 학습 공동체로서 지역과 함께 성장하며 중추적인 역할을 수행 할 수 있도록 지속적으로 지원하겠다”고 말했다."
"대구변호사회 봉사단, 달서구에 선풍기 기탁",경북신문,2023-06-07,http://www.kbsm.net/news/view.php?idx=394144,"대구지방변호사회 저스티스 봉사단이 지난 5일 달서구에 선풍기 166대(1100만원 상당)를 기탁했다. 전달식에는 이태훈 달서구청장, 강윤구 대구변호사회장, 남대하 저스티스 봉사단장, 권기룡 부장이 참석했다."
"대구 서구, 지방보조금관리·예산회계실무 역량강화",경북신문,2023-06-07,http://www.kbsm.net/news/view.php?idx=394141,"대구 서구가 지난 5일 지방보조금관리 및 예산회계실무 교육을 했다. 이번 교육은 지방보조금 담당공무원 및 민간보조사업자와 회계담당공무원 등 250여명을 대상으로 직무역량 강화 및 업무 전문성을 높이기 위해 마련됐다. 강사로 나선 최기웅 서울시 강서구청 과장은 보조금교육 분야에서는 지방보조금의 기본 이해, 보조금의 교부목적에 따른 사업운영, 부정사용에 대한 제재사항, 감사사례 및 질의·응답 등 실무 위주로 설명했다. 예산회계실무교육 분야에서는 오랜 공직 생활에서 얻은 경험을 바탕으로 예산회계처리에 필요한 원칙과 절차, 회계실무사례 등 현장에서 겪는 다양한 사례위주의 교육을 했다. 류한국 서구청장은 “앞으로도 투명하고 건전한 보조사업 운영이 될 수 있도록 구와 보조사업자의 지속적인 노력을 당부한다""며 ""예산회계 실무자의 직무역량 강화를 통해 지방재정 운영의 건전성을 높여 나가겠다”고 말했다."
홍준표 시장 `올해는 청렴도 최상급 도약 원년으로 만들것`,경북신문,2023-06-07,http://www.kbsm.net/news/view.php?idx=394140,"“올해는 반드시 청렴도 최상급 도약의 원년으로 만들자"" 대구시가 7일 대구시장 주재로 행정부시장, 실·국장, 원·본부·사업소장 등 고위직 공무원 30여 명이 참석한 가운데 ‘2023년 자체청렴도 측정결과 및 대책 보고회’를 열었다.이번 보고회는 올해 두 번째 열린 ‘파워풀 대구 청렴 간부회의’로 지난 4월부터 5월까지 15일간 내부 직원 2143명과 외부고객 1011명을 대상으로 실시한 자체청렴도 측정 결과를 실·국, 원·본부·사업소별로 보고하고 청렴 취약분야에 대한 개선 대책에 대해 논의했다.자체청렴도 측정결과 내부청렴도는 10점 만점에 8.51점, 외부청렴도는 9.77점으로 지난해 대비 각각 0.24점과 0.36점이 향상됐다.특히 조직 및 업무 관련 청렴도가 크게 높아진 것으로 확인돼 올해 국민권익위원회 주관 종합청렴도 평가 전망을 밝게 했다.이번 자체청렴도 측정결과는 올해 말 부서별 청렴노력도를 확인·검증하는 ‘청렴 올림픽’ 평가를 통해 ‘2023년도 부서별 성과관리 종합평가’에 반영된다.홍준표 대구시장은 “이번 자체청렴도 측정결과 및 대책 보고회를 통해 부서별 청렴 취약요인을 분석하고 개선 대책을 철저히 마련하라""고 당부했다."
[오늘 날씨] 대구·경북 구름 많고 내륙 소나기...낮 최고 31도,경북신문,2023-06-08,http://www.kbsm.net/news/view.php?idx=394217,"8일 목요일 대구와 경북은 구름 많은 가운데 낮 기온이 31도까지 오르겠다.대구지방기상청에 따르면 이날 대구·경북은 제주도해상에서 동쪽으로 이동하는 고기압의 가장자리에 들다가 밤부터 북쪽을 지나는 기압골의 영향을 차차 받겠다.경북북부내륙과 경북남서내륙에는 늦은 오후 천둥·번개·우박을 동반한 소나기가 내리는 곳이 있겠다. 예상 강수량은 5~30㎜다. 지역별 아침 최저기온은 청송 15도, 김천 16도, 안동 17도, 대구 19도, 울진 20도, 포항 21도 등이다. 낮 최고기온은 김천 31도, 구미 30도, 대구·안동 29도, 포항 28도, 청도 27도, 울진 26도 등이 예상된다.동해상의 1~2m로 일겠다.미세먼지 농도는 `보통` 수준으로 전망된다."
